well	RB	well
no	RB	no
he	PP	he
did	VBD	do
n't	RB	n't
tell	VB	tell
me	PP	me
that	IN	that
but	CC	but
told	VBD	tell
me	PP	me
which	WDT	which
was	VBD	be
back	RB	back
in	IN	in
October	NP	October
now	RB	now
he	PP	he
said	VBD	say
oh	UH	oh
she	PP	she
he	PP	he
's	VBZ	be
not	RB	not
with	IN	with
her	PP	her
he	PP	he
's	VBZ	be
I	PP	I
said	VBD	say
oh	UH	oh
I	PP	I
knew	VBD	know
he	PP	he
had	VBD	have
one	CD	one
and	CC	and
I	PP	I
had	VBD	have
seen	VBN	see
him	PP	him
and	CC	and
he	PP	he
told	VBD	tell
me	PP	me
he	PP	he
had	VBD	have
one	CD	one
she	PP	she
said	VBD	say
yeah	RB	yeah
she	PP	she
said	VBD	say
er	NNS	<unknown>
so	RB	so
did	VBD	do
he	PP	he
tell	VB	tell
you	PP	you
that	IN	that
she	PP	she
was	VBD	be
erm	NN	erm
oriental	JJ	oriental
?	SENT	?
I	PP	I
said	VBD	say
oh	UH	oh
no	UH	no
he	PP	he
did	VBD	do
n't	RB	n't
so	RB	so
what	WP	what
she	PP	she
was	VBD	be
implying	VBG	imply
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
but	CC	but
she	PP	she
was	VBD	be
just	JJ	just
oh	UH	oh
yeah	RB	yeah
yeah	RB	yeah
she	PP	she
was	VBD	be
a	DT	a
oriental	JJ	oriental
lady	NN	lady
mm	NN	mm.
that	IN	that
but	CC	but
it	PP	it
was	VBD	be
a	DT	a
sort	NN	sort
