oh	UH	oh
but	CC	but
it	PP	it
'd	MD	will
be	VB	be
nice	JJ	nice
if	IN	if
you	PP	you
found	VBD	find
the	DT	the
other	JJ	other
one	CD	one
I	PP	I
would	MD	would
like	VB	like
to	TO	to
lear	JJ	<unknown>
start	NN	start
learning	NN	learning
how	WRB	how
to	TO	to
juggle	VB	juggle
I	PP	I
reckon	VB	reckon
if	IN	if
I	PP	I
can	MD	can
sort	VB	sort
doing	VBG	do
a	DT	a
handstand	NN	handstand
out	IN	out
then	RB	then
I	PP	I
shall	MD	shall
aim	VB	aim
to	TO	to
do	VB	do
juggling	VBG	juggle
we	PP	we
could	MD	could
learn	VB	learn
that	IN	that
together	RB	together
and	CC	and
you	PP	you
know	VBP	know
what	WP	what
you	PP	you
should	MD	should
do	VB	do
tomorrow	NN	tomorrow
as	IN	as
as	RB	as
well	RB	well
?	SENT	?
you	PP	you
should	MD	should
go	VB	go
on	IN	on
your	PP$	your
bike	NN	bike
again	RB	again
to	TO	to
give	VB	give
it	PP	it
another	DT	another
go	VBP	go
to	TO	to
keep	VB	keep
practising	VBG	practise
we	PP	we
forgot	VBD	forget
to	TO	to
ask	VB	ask
to	TO	to
lower	VB	lower
your	PP$	your
seat	NN	seat
and	CC	and
raise	VB	raise
your	PP$	your
seat	NN	seat
so	RB	so
whenever	WRB	whenever
we	PP	we
see	VBP	see
him	PP	him
next	JJ	next
we	PP	we
need	VBP	need
to	TO	to
ask	VB	ask
him	PP	him
to	TO	to
do	VB	do
that	DT	that
okay	NN	okay
?	SENT	?
