oh	UH	oh
thank	VB	thank
god	NN	god
I	PP	I
do	VBP	do
n't	RB	n't
I	PP	I
mean	VBP	mean
I	PP	I
I	PP	I
yeah	RB	yeah
god	NN	god
terrible	JJ	terrible
drdreadful	NN	<unknown>
dreadful	JJ	dreadful
yeah	RB	yeah
well	RB	well
er	JJ	<unknown>
you	PP	you
know	VBP	know
I	PP	I
blame	VB	blame
the	DT	the
society	NN	society
I	PP	I
was	VBD	be
brought	VBN	bring
up	RP	up
in	IN	in
I	PP	I
blame	VBP	blame
it	PP	it
all	RB	all
for	IN	for
for	IN	for
everything	NN	everything
bad	JJ	bad
that	IN	that
I	PP	I
've	VBP	have
learnt	VBN	learn
I	PP	I
blame	VBP	blame
it	PP	it
for	IN	for
for	IN	for
giving	VBG	give
a	DT	a
man	NN	man
the	DT	the
power	NN	power
sadist	NN	sadist
to	TO	to
beat	VB	beat
a	DT	a
fucking	VBG	fuck
six	CD	six
year	NN	year
old	JJ	old
child	NN	child
you	PP	you
know	VBP	know
if	IN	if
you	PP	you
that	WDT	that
's	VBZ	be
what	WP	what
Jimmy	NP	Jimmy
Saville	NP	Saville
got	VBD	get
put	VB	put
away	RB	away
for	IN	for
well	RB	well
perhaps	RB	perhaps
not	RB	not
beating	VBG	beat
but	CC	but
you	PP	you
know	VBP	know
and	CC	and
they	PP	they
that	RB	that
was	VBD	be
and	CC	and
there	EX	there
were	VBD	be
people	NNS	people
wanting	VBG	want
to	TO	to
bring	VB	bring
that	DT	that
back	RB	back
corporal	JJ	corporal
punishment	NN	punishment
and	CC	and
what	WP	what
corporal	NN	corporal
punishment	NN	punishment
does	VBZ	do
is	VBZ	be
when	WRB	when
you	PP	you
get	VBP	get
beaten	JJ	beaten
is	VBZ	be
it	PP	it
makes	VBZ	make
you	PP	you
hate	VBP	hate
the	DT	the
institution	NN	institution
hate	NN	hate
