there	EX	there
are	VBP	be
quite	RB	quite
a	DT	a
lot	NN	lot
of	IN	of
unemployed	JJ	unemployed
people	NNS	people
in	IN	in
Britain	NP	Britain
you	PP	you
're	VBP	be
right	JJ	right
and	CC	and
they	PP	they
have	VBP	have
just	RB	just
been	VBN	be
doing	VBG	do
some	DT	some
advertising	NN	advertising
for	IN	for
some	DT	some
receptionist	NN	receptionist
at	IN	at
my	PP$	my
in	IN	in
the	DT	the
building	NN	building
I	PP	I
work	VBP	work
in	IN	in
so	RB	so
I	PP	I
looked	VBD	look
at	IN	at
these	DT	these
CVs	NP	CV
cos	NN	cos
it	PP	it
's	VBZ	be
just	RB	just
an	DT	an
administrative	JJ	administrative
post	NN	post
like	IN	like
you	PP	you
say	VBP	say
and	CC	and
luckily	RB	luckily
I	PP	I
did	VBD	do
n't	RB	n't
lead	VB	lead
to	TO	to
look	VB	look
at	IN	at
most	JJS	most
of	IN	of
the	DT	the
CVs	NP	CV
cos	NN	cos
in	IN	in
the	DT	the
covering	VBG	cover
email	NN	<unknown>
I	PP	I
could	MD	could
tell	VB	tell
that	IN	that
they	PP	they
were	VBD	be
illiterate	JJ	illiterate
and	CC	and
like	IN	like
the	DT	the
the	DT	the
my	PP$	my
administrator	NN	administrator
sends	VBZ	send
you	PP	you
know	VBP	know
emails	NNS	email
to	TO	to
like	VB	like
proper	JJ	proper
people	NNS	people
the	DT	the
she	PP	she
needs	VBZ	need
to	TO	to
use	VB	use
a	DT	a
capital	NN	capital
I	PP	I
when	WRB	when
she	PP	she
says	VBZ	say
I	PP	I
you	PP	you
know	VBP	know
