and	CC	and
it	PP	it
's	VBZ	be
about	RB	about
I	PP	I
think	VBP	think
if	IN	if
you	PP	you
really	RB	really
want	VBP	want
to	TO	to
help	VB	help
someone	NN	someone
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
help	VB	help
them	PP	them
the	DT	the
biggest	JJS	big
thing	NN	thing
is	VBZ	be
helping	VBG	help
someone	NN	someone
help	VB	help
themselves	PP	themselves
you	PP	you
ca	MD	ca
n't	RB	n't
just	RB	just
it	PP	it
's	VBZ	be
like	JJ	like
if	IN	if
someone	NN	someone
's	POS	's
crap	NN	crap
with	IN	with
money	NN	money
I	PP	I
mean	VBP	mean
in	IN	in
an	DT	an
individual	NN	individual
if	IN	if
an	DT	an
individual	NN	individual
's	POS	's
crap	NN	crap
with	IN	with
money	NN	money
you	PP	you
do	VBP	do
n't	RB	n't
just	RB	just
you	PP	you
do	VBP	do
n't	RB	n't
just	RB	just
throw	VB	throw
a	DT	a
hundred	CD	hundred
pounds	NNS	pound
at	IN	at
them	PP	them
because	IN	because
if	IN	if
they	PP	they
ca	MD	ca
n't	RB	n't
manage	VB	manage
money	NN	money
they	PP	they
're	VBP	be
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
manage	VB	manage
a	DT	a
hundred	CD	hundred
pounds	NNS	pound
the	DT	the
if	IN	if
you	PP	you
really	RB	really
want	VBP	want
to	TO	to
help	VB	help
someone	NN	someone
I	PP	I
would	MD	would
say	VB	say
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
teach	VB	teach
them	PP	them
how	WRB	how
to	TO	to
deal	VB	deal
teach	VB	teach
them	PP	them
themselves	PP	themselves
how	WRB	how
to	TO	to
solve	VB	solve
the	DT	the
problem	NN	problem
