trouble	NN	trouble
is	VBZ	be
that	IN	that
that	DT	that
that	WDT	that
was	VBD	be
the	DT	the
conservatory	JJ	conservatory
doors	NNS	door
there	RB	there
coming	VBG	come
into	IN	into
the	DT	the
house	NN	house
and	CC	and
he	PP	he
was	VBD	be
like	IN	like
that	DT	that
holding	NN	holding
it	PP	it
and	CC	and
this	DT	this
other	JJ	other
little	JJ	little
girl	NN	girl
shut	VBD	shut
the	DT	the
door	NN	door
on	IN	on
his	PP$	his
finger	NN	finger
like	IN	like
that	WDT	that
and	CC	and
it	PP	it
did	VBD	do
n't	RB	n't
take	VB	take
I	PP	I
thought	VBD	think
it	PP	it
took	VBD	take
the	DT	the
top	NN	top
of	IN	of
finger	NN	finger
off	IN	off
cos	NN	cos
his	PP$	his
finger	NN	finger
was	VBD	be
in	IN	in
the	DT	the
door	NN	door
but	CC	but
he	PP	he
ripped	VBD	rip
it	PP	it
away	RB	away
and	CC	and
just	RB	just
ripped	VBD	rip
the	DT	the
skin	NN	skin
off	IN	off
and	CC	and
his	PP$	his
nail	NN	nail
with	IN	with
it	PP	it
and	CC	and
of	IN	of
course	NN	course
that	WDT	that
's	VBZ	be
when	WRB	when
I	PP	I
had	VBD	have
to	TO	to
take	VB	take
them	PP	them
up	RP	up
there	RB	there
but	CC	but
they	PP	they
they	PP	they
er	VBD	<unknown>
they	PP	they
were	VBD	be
alright	RB	alright
they	PP	they
just	RB	just
bandaged	VBD	bandage
it	PP	it
up	RP	up
and	CC	and
that	WDT	that
was	VBD	be
it	PP	it
he	PP	he
was	VBD	be
alright	RB	alright
and	CC	and
er	VBG	<unknown>
his	PP$	his
mum	JJ	mum
come	VBN	come
home	NN	home
in	IN	in
the	DT	the
meantime	NN	meantime
while	IN	while
I	PP	I
was	VBD	be
up	RB	up
there	RB	there
and	CC	and
had	VBD	have
to	TO	to
tell	VB	tell
her	PP	her
what	WP	what
had	VBD	have
happened	VBN	happen
you	PP	you
know	VBP	know
she	PP	she
come	VB	come
running	VBG	run
up	RP	up
up	RB	up
there	RB	there
and	CC	and
I	PP	I
said	VBD	say
oh	UH	oh
he	PP	he
's	VBZ	be
alright	RB	alright
he	PP	he
's	VBZ	be
only	RB	only
and	CC	and
she	PP	she
said	VBD	say
oh	UH	oh
god	NN	god
that	WDT	that
's	VBZ	be
that	WDT	that
's	VBZ	be
that	IN	that
's	POS	's
fine	NN	fine
do	VBP	do
n't	RB	n't
worry	VB	worry
about	IN	about
it	PP	it
it	PP	it
's	VBZ	be
all	RB	all
done	VBN	do
now	RB	now
and	CC	and
he	PP	he
was	VBD	be
okay	JJ	okay
and	CC	and
his	PP$	his
mum	NN	mum
was	VBD	be
okay	JJ	okay
all	RB	all
about	IN	about
it	PP	it
some	DT	some
mum	NN	mum
's	POS	's
'd	MD	will
've	VBP	have
gone	VBN	go
up	RP	up
the	DT	the
wall	NN	wall
