up	RB	up
to	TO	to
two	CD	two
hours	NNS	hour
with	IN	with
the	DT	the
cranes	NNS	crane
or	CC	or
the	DT	the
suction	NN	suction
pads	VBZ	pad
or	CC	or
whatever	WDT	whatever
they	PP	they
're	VBP	be
doing	VBG	do
so	RB	so
by	IN	by
the	DT	the
t	NN	t
you	PP	you
know	VBP	know
they	PP	they
're	VBP	be
offloading	VBG	offload
the	DT	the
pipes	NNS	pipe
they	PP	they
're	VBP	be
checking	VBG	check
the	DT	the
quality	NN	quality
they	PP	they
're	VBP	be
looking	VBG	look
somebody	NN	somebody
else	RB	else
is	VBZ	be
looking	VBG	look
and	CC	and
they	PP	they
might	MD	might
see	VB	see
a	DT	a
nick	NN	nick
and	CC	and
you	PP	you
'll	MD	will
have	VB	have
to	TO	to
photograph	VB	photograph
it	PP	it
and	CC	and
say	VBP	say
well	RB	well
this	DT	this
is	VBZ	be
what	WP	what
they	PP	they
complained	VBD	complain
about	RB	about
on	IN	on
this	DT	this
one	CD	one
and	CC	and
then	RB	then
sometimes	RB	sometimes
there	EX	there
are	VBP	be
and	CC	and
just	RB	just
you	PP	you
can	MD	can
you	PP	you
can	MD	can
repair	VB	repair
them	PP	them
quite	RB	quite
easily	RB	easily
and	CC	and
what	WP	what
he	PP	he
might	MD	might
do	VB	do
is	VBZ	be
teach	VB	teach
you	PP	you
how	WRB	how
to	TO	to
repair	VB	repair
them	PP	them
and	CC	and
there	EX	there
's	VBZ	be
a	DT	a
patch	NN	patch
that	IN	that
you	PP	you
heat	VB	heat
on	IN	on
you	PP	you
know	VBP	know
?	SENT	?
erm	NN	erm
or	CC	or
generally	RB	generally
you	PP	you
're	VBP	be
just	RB	just
taking	VBG	take
the	DT	the
the	DT	the
numbers	NNS	number
down	RB	down
and	CC	and
putting	VBG	put
it	PP	it
on	IN	on
a	DT	a
on	IN	on
a	DT	a
delivery	NN	delivery
sheet	NN	sheet
and	CC	and
getting	VBG	get
somebody	NN	somebody
in	IN	in
authority	NN	authority
to	TO	to
sign	VB	sign
it	PP	it
so	RB	so
that	IN	that
they	PP	they
'll	MD	will
pay	VB	pay
for	IN	for
it	PP	it
that	WDT	that
's	VBZ	be
all	DT	all
it	PP	it
is	VBZ	be
but	CC	but
it	PP	it
's	VBZ	be
slow	JJ	slow
because	IN	because
erm	NN	erm
you	PP	you
need	VBP	need
a	DT	a
flask	NN	flask
of	IN	of
coffee	NN	coffee
and	CC	and
book	VB	book
half	PDT	half
the	DT	the
time	NN	time
because	IN	because
you	PP	you
you	PP	you
know	VBP	know
two	CD	two
hours	NNS	hour
to	TO	to
offload	VB	offload
a	DT	a
wagon	NN	wagon
and	CC	and
then	RB	then
the	DT	the
next	JJ	next
one	CD	one
comes	VBZ	come
in	IN	in
another	DT	another
two	CD	two
hours	NNS	hour
to	TO	to
offload	VB	offload
them	PP	them
it	PP	it
's	VBZ	be
only	RB	only
four	CD	four
pipes	NNS	pipe
each	DT	each
time	NN	time
so	IN	so
it	PP	it
's	VBZ	be
not	RB	not
difficult	JJ	difficult
it	PP	it
's	VBZ	be
not	RB	not
like	IN	like
you	PP	you
've	VBP	have
got	VBN	get
masses	NNS	mass
of	IN	of
things	NNS	thing
to	TO	to
look	VB	look
at	IN	at
you	PP	you
've	VBP	have
only	RB	only
got	VBN	get
these	DT	these
