yeah	RB	yeah
but	CC	but
then	RB	then
for	IN	for
my	PP$	my
birthday	NN	birthday
he	PP	he
did	VBD	do
this	DT	this
really	RB	really
cute	JJ	cute
thing	NN	thing
he	PP	he
left	VBD	leave
like	IN	like
a	DT	a
week	NN	week
two	CD	two
weeks	NNS	week
before	IN	before
my	PP$	my
birthday	NN	birthday
and	CC	and
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
do	VB	do
presents	NNS	present
in	IN	in
February	NP	February
when	WRB	when
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
go	VB	go
out	RP	out
there	RB	there
and	CC	and
so	RB	so
anyway	RB	anyway
I	PP	I
went	VBD	go
down	RB	down
and	CC	and
the	DT	the
doorman	NN	doorman
said	VBD	say
oh	UH	oh
I	PP	I
've	VBP	have
got	VBN	get
something	NN	something
here	RB	here
for	IN	for
you	PP	you
and	CC	and
he	PP	he
gave	VBD	give
me	PP	me
freeze	VB	freeze
dried	VBN	dry
rose	NN	rose
which	WDT	which
was	VBD	be
given	VBN	give
to	TO	to
me	PP	me
and	CC	and
a	DT	a
card	NN	card
saying	VBG	say
happy	JJ	happy
birthday	NN	birthday
I	PP	I
came	VBD	come
and	CC	and
he	PP	he
'd	VBD	have
given	VBN	give
a	DT	a
present	NN	present
to	TO	to
the	DT	the
maid	NN	maid
cos	NN	cos
we	PP	we
had	VBD	have
a	DT	a
maid	NN	maid
in	IN	in
our	PP$	our
room	NN	room
and	CC	and
put	VB	put
on	IN	on
my	PP$	my
bed	NN	bed
like	IN	like
and	CC	and
so	RB	so
there	EX	there
was	VBD	be
a	DT	a
present	NN	present
and	CC	and
a	DT	a
card	NN	card
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
that	WDT	that
's	VBZ	be
cute	JJ	cute
but	CC	but
it	PP	it
was	VBD	be
n't	RB	n't
just	RB	just
that	IN	that
I	PP	I
opened	VBD	open
that	IN	that
and	CC	and
then	RB	then
the	DT	the
card	NN	card
said	VBD	say
right	RB	right
go	VB	go
into	IN	into
your	PP$	your
computer	NN	computer
and	CC	and
open	VB	open
this	DT	this
password	NN	password
protected	VBN	protect
document	NN	document
but	CC	but
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
find	VB	find
the	DT	the
password	NN	password
which	WDT	which
was	VBD	be
referring	VBG	refer
to	TO	to
our	PP$	our
last	JJ	last
love	NN	love
letter	NN	letter
so	IN	so
I	PP	I
had	VBD	have
to	TO	to
go	VB	go
and	CC	and
get	VB	get
the	DT	the
last	JJ	last
love	NN	love
letter	NN	letter
out	RP	out
and	CC	and
find	VB	find
this	DT	this
password	NN	password
which	WDT	which
spelt	VBD	spell
out	IN	out
I	PP	I
love	VBP	love
you	PP	you
