um	NNS	<unknown>
so	RB	so
yeah	RB	yeah
I	PP	I
do	VBP	do
it	PP	it
feels	VBZ	feel
good	JJ	good
to	TO	to
know	VB	know
him	PP	him
I	PP	I
mean	VBP	mean
we	PP	we
have	VBP	have
a	DT	a
really	RB	really
nice	JJ	nice
time	NN	time
together	RB	together
but	CC	but
that	DT	that
's	VBZ	be
all	DT	all
I	PP	I
want	VBP	want
to	TO	to
keep	VB	keep
it	PP	it
as	IN	as
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
you	PP	you
're	VBP	be
like	IN	like
a	DT	a
part	NN	part
of	IN	of
you	PP	you
does	VBZ	do
want	VBP	want
to	TO	to
be	VB	be
the	DT	the
booty	NN	booty
call	NN	call
and	CC	and
part	NN	part
of	IN	of
you	PP	you
does	VBZ	do
n't	RB	n't
it	PP	it
's	VBZ	be
hard	JJ	hard
is	VBZ	be
n't	RB	n't
it	PP	it
?	SENT	?
You	PP	you
know	VBP	know
you	PP	you
think	VBP	think
well	RB	well
why	WRB	why
do	VBP	do
n't	RB	n't
you	PP	you
want	VBP	want
to	TO	to
ask	VB	ask
me	PP	me
on	IN	on
a	DT	a
date	NN	date
?	SENT	?
And	CC	and
then	RB	then
when	WRB	when
he	PP	he
does	VBZ	do
you	PP	you
're	VBP	be
like	IN	like
we	PP	we
're	VBP	be
not	RB	not
doing	VBG	do
that	IN	that
we	PP	we
're	VBP	be
not	RB	not
doing	VBG	do
the	DT	the
date	NN	date
thing	NN	thing
so	IN	so
I	PP	I
think	VBP	think
you	PP	you
know	VBP	know
I	PP	I
sort	VB	sort
of	IN	of
feel	NN	feel
for	IN	for
him	PP	him
he	PP	he
just	RB	just
ca	MD	ca
n't	RB	n't
really	RB	really
win	VB	win
