no	DT	no
erm	NN	erm
I	PP	I
saw	VBD	see
basically	RB	basically
and	CC	and
I	PP	I
did	VBD	do
n't	RB	n't
really	RB	really
clock	NN	clock
I	PP	I
saw	VBD	see
but	CC	but
it	PP	it
was	VBD	be
like	IN	like
m	NN	m
I	NP	I
dunno	NP	dunno
it	PP	it
was	VBD	be
just	RB	just
kind	NN	kind
of	IN	of
eyes	NNS	eye
went	VBD	go
through	IN	through
her	PP	her
was	VBD	be
there	RB	there
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
but	CC	but
we	PP	we
were	VBD	be
standing	VBG	stand
in	IN	in
a	DT	a
really	RB	really
tight	JJ	tight
circle	NN	circle
and	CC	and
everyone	NN	everyone
had	VBD	have
left	VBN	leave
the	DT	the
church	NN	church
and	CC	and
like	IN	like
I	PP	I
was	VBD	be
just	RB	just
like	IN	like
crying	VBG	cry
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
talking	VBG	talk
to	TO	to
and	CC	and
she	PP	she
was	VBD	be
like	IN	like
hugging	NN	hugging
me	FW	me
and	CC	and
bei	FW	bei
really	RB	really
nice	JJ	nice
and	CC	and
we	PP	we
were	VBD	be
saying	VBG	say
like	IN	like
we	PP	we
should	MD	should
meet	VB	meet
up	RP	up
and	CC	and
it	PP	it
's	VBZ	be
so	RB	so
sad	JJ	sad
and	CC	and
then	RB	then
like	IN	like
me	PP	me
and	CC	and
were	VBD	be
just	RB	just
like	IN	like
she	PP	she
just	RB	just
almost	RB	almost
like	IN	like
staring	VBG	stare
at	IN	at
me	PP	me
really	RB	really
weirdly	RB	weirdly
and	CC	and
like	IN	like
I	PP	I
was	VBD	be
like	IN	like
I	PP	I
just	RB	just
did	VBD	do
n't	RB	n't
say	VB	say
anything	NN	anything
and	CC	and
I	PP	I
was	VBD	be
ju	NN	ju
always	RB	always
like	IN	like
it	PP	it
was	VBD	be
just	RB	just
so	RB	so
weird	JJ	weird
none	NN	none
of	IN	of
us	PP	us
said	VBD	say
anything	NN	anything
we	PP	we
did	VBD	do
n't	RB	n't
say	VB	say
like	IN	like
even	VB	even
hi	UH	hi
