that	DT	that
part	NN	part
where	WRB	where
he	PP	he
's	VBZ	be
I	PP	I
've	VBP	have
given	VBN	give
him	PP	him
every	DT	every
single	JJ	single
excuse	NN	excuse
for	IN	for
him	PP	him
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
just	RB	just
say	VB	say
okay	RB	okay
then	RB	then
I	PP	I
'll	MD	will
let	VB	let
you	PP	you
on	IN	on
this	DT	this
occasion	NN	occasion
he	PP	he
still	RB	still
wo	MD	wo
n't	RB	n't
do	VB	do
it	PP	it
and	CC	and
I	PP	I
said	VBD	say
to	TO	to
him	PP	him
dad	NN	dad
I	PP	I
said	VBD	say
you	PP	you
're	VBP	be
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
get	VB	get
over	RP	over
this	DT	this
you	PP	you
know	VBP	know
?	SENT	?
because	IN	because
I	PP	I
would	MD	would
n't	RB	n't
take	VB	take
the	DT	the
money	NN	money
off	IN	off
him	PP	him
and	CC	and
he	PP	he
put	VBD	put
in	IN	in
my	PP$	my
bag	NN	bag
and	CC	and
on	IN	on
the	DT	the
bed	NN	bed
I	PP	I
said	VBD	say
what	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
?	SENT	?
I	PP	I
said	VBD	say
no	RB	no
I	PP	I
said	VBD	say
I	PP	I
wanted	VBD	want
to	TO	to
pay	VB	pay
for	IN	for
it	PP	it
and	CC	and
he	PP	he
said	VBD	say
and	CC	and
he	PP	he
got	VBD	get
and	CC	and
I	PP	I
put	VBP	put
it	PP	it
in	IN	in
my	PP$	my
bag	NN	bag
and	CC	and
I	PP	I
said	VBD	say
thank	VB	thank
you	PP	you
I	PP	I
said	VBD	say
but	CC	but
you	PP	you
're	VBP	be
you	PP	you
're	VBP	be
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
get	VB	get
over	RP	over
this	DT	this
you	PP	you
know	VBP	know
?	SENT	?
I	PP	I
said	VBD	say
because	IN	because
you	PP	you
know	VBP	know
you	PP	you
come	VBP	come
down	RB	down
here	RB	here
and	CC	and
you	PP	you
pay	VBP	pay
for	IN	for
petrol	NN	petrol
to	TO	to
get	VB	get
here	RB	here
you	PP	you
pay	VBP	pay
