when	WRB	when
you	PP	you
were	VBD	be
a	DT	a
baby	NN	baby
you	PP	you
were	VBD	be
a	DT	a
few	JJ	few
months	NNS	month
old	JJ	old
er	NN	er
and	CC	and
we	PP	we
decided	VBD	decide
it	PP	it
would	MD	would
be	VB	be
really	RB	really
nice	JJ	nice
to	TO	to
move	VB	move
to	TO	to
and	CC	and
then	RB	then
we	PP	we
got	VBD	get
this	DT	this
opportunity	NN	opportunity
because	IN	because
daddy	NN	daddy
had	VBD	have
a	DT	a
pension	NN	pension
that	WDT	that
came	VBD	come
up	RP	up
er	NNS	<unknown>
there	EX	there
was	VBD	be
a	DT	a
company	NN	company
he	PP	he
used	VBD	use
to	TO	to
work	VB	work
for	IN	for
in	IN	in
London	NP	London
that	IN	that
he	PP	he
paid	VBD	pay
into	IN	into
a	DT	a
pension	NN	pension
for	IN	for
a	DT	a
short	JJ	short
amount	NN	amount
of	IN	of
time	NN	time
and	CC	and
we	PP	we
found	VBD	find
out	RP	out
that	IN	that
he	PP	he
could	MD	could
actually	RB	actually
cash	VB	cash
in	IN	in
this	DT	this
pension	NN	pension
because	IN	because
he	PP	he
was	VBD	be
disabled	VBN	disable
early	RB	early
so	IN	so
it	PP	it
meant	VBD	mean
that	IN	that
suddenly	RB	suddenly
within	IN	within
a	DT	a
year	NN	year
less	RBR	less
than	IN	than
a	DT	a
year	NN	year
of	IN	of
us	PP	us
sort	NN	sort
of	IN	of
talking	VBG	talk
about	IN	about
it	PP	it
because	IN	because
we	PP	we
had	VBD	have
gone	VBN	go
in	IN	in
the	DT	the
summer	NN	summer
