no	RB	no
it	PP	it
it	PP	it
it	PP	it
it	PP	it
it	PP	it
stems	VBZ	stem
from	IN	from
the	DT	the
same	JJ	same
force	NN	force
as	IN	as
the	DT	the
sexism	NN	sexism
that	IN	that
women	NNS	woman
face	VBP	face
as	RB	as
in	IN	in
it	PP	it
's	VBZ	be
it	PP	it
's	VBZ	be
because	IN	because
of	IN	of
the	DT	the
fact	NN	fact
that	IN	that
men	NNS	man
are	VBP	be
considered	VBN	consider
to	TO	to
be	VB	be
superior	JJ	superior
to	TO	to
women	NNS	woman
which	WDT	which
is	VBZ	be
why	WRB	why
it	PP	it
's	VBZ	be
so	RB	so
it	PP	it
's	VBZ	be
so	RB	so
people	NNS	people
see	VBP	see
it	PP	it
as	IN	as
so	RB	so
demeaning	VBG	demean
or	CC	or
people	NNS	people
feel	VBP	feel
so	IN	so
demor	NN	<unknown>
or	CC	or
people	NNS	people
see	VBP	see
it	PP	it
as	IN	as
so	RB	so
pathetic	JJ	pathetic
to	TO	to
see	VB	see
a	DT	a
man	NN	man
being	VBG	be
abused	VBN	abuse
by	IN	by
women	NNS	woman
that	WDT	that
's	VBZ	be
because	IN	because
of	IN	of
the	DT	the
same	JJ	same
thothose	NN	<unknown>
are	VBP	be
the	DT	the
same	JJ	same
reasons	NNS	reason
that	IN	that
women	NNS	woman
are	VBP	be
are	VBP	be
discriminated	VBN	discriminate
against	IN	against
because	IN	because
those	DT	those
those	DT	those
things	NNS	thing
are	VBP	be
similar	JJ	similar
but	CC	but
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
that	WDT	that
's	VBZ	be
different	JJ	different
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
that	WDT	that
's	VBZ	be
sexism	NN	sexism
against	IN	against
man	NN	man
men	NNS	man
