when	WRB	when
I	PP	I
used	VBD	use
to	TO	to
do	VB	do
Kettlebell	NP	<unknown>
that	DT	that
's	VBZ	be
what	WP	what
they	PP	they
made	VBD	make
you	PP	you
do	VBP	do
so	RB	so
you	PP	you
've	VBP	have
got	VBN	get
like	IN	like
an	DT	an
eight	CD	eight
kilogram	NN	kilogram
weight	NN	weight
and	CC	and
a	DT	a
d	NN	d
this	DT	this
guy	NN	guy
had	VBD	have
sixteen	CD	sixteen
he	PP	he
was	VBD	be
a	DT	a
machine	NN	machine
and	CC	and
you	PP	you
do	VBP	do
the	DT	the
same	JJ	same
thing	NN	thing
but	CC	but
with	IN	with
a	DT	a
weight	NN	weight
and	CC	and
you	PP	you
move	VBP	move
from	IN	from
side	NN	side
to	TO	to
side	NN	side
kettlebell	NN	<unknown>
used	VBN	use
to	TO	to
just	RB	just
destroy	VB	destroy
me	PP	me
that	IN	that
my	PP$	my
mum	NN	mum
banned	VBD	ban
me	PP	me
from	IN	from
doing	VBG	do
it	PP	it
cos	NN	cos
I	PP	I
could	MD	could
n't	RB	n't
walk	VB	walk
the	DT	the
next	JJ	next
day	NN	day
I	PP	I
was	VBD	be
totally	RB	totally
you	PP	you
should	MD	should
see	VB	see
the	DT	the
girls	NNS	girl
in	IN	in
the	DT	the
office	NN	office
and	CC	and
everyone	NN	everyone
was	VBD	be
like	IN	like
ow	JJ	<unknown>
ow	NN	ow
ow	NN	ow
ow	NN	ow
with	IN	with
every	DT	every
step	NN	step
towards	IN	towards
the	DT	the
printer	NN	printer
ow	NN	ow
ow	NN	ow
