yeah	RB	yeah
well	RB	well
I	PP	I
think	VBP	think
that	DT	that
's	VBZ	be
a	DT	a
great	JJ	great
idea	NN	idea
because	IN	because
erm	NN	erm
like	IN	like
if	IN	if
you	PP	you
if	IN	if
you	PP	you
even	RB	even
found	VBD	find
that	IN	that
you	PP	you
needed	VBD	need
two	CD	two
things	NNS	thing
or	CC	or
three	CD	three
things	NNS	thing
by	IN	by
the	DT	the
end	NN	end
of	IN	of
the	DT	the
week	NN	week
to	TO	to
solve	VB	solve
a	DT	a
thematic	JJ	thematic
problem	NN	problem
that	IN	that
people	NNS	people
have	VBP	have
come	VBN	come
in	RP	in
to	TO	to
solve	VB	solve
erm	NN	erm
or	CC	or
even	RB	even
just	RB	just
to	TO	to
talk	VB	talk
about	RB	about
what	WP	what
they	PP	they
s	VBZ	<unknown>
this	DT	this
what	WP	what
they	PP	they
see	VBP	see
as	IN	as
the	DT	the
problem	NN	problem
communicate	VB	communicate
what	WP	what
the	DT	the
problem	NN	problem
is	VBZ	be
is	VBZ	be
the	DT	the
first	JJ	first
thing	NN	thing
they	PP	they
uncover	VBP	uncover
that	IN	that
they	PP	they
need	VBP	need
some	DT	some
things	NNS	thing
then	RB	then
you	PP	you
can	MD	can
have	VB	have
the	DT	the
on	IN	on
the	DT	the
Sunday	NP	Sunday
you	PP	you
could	MD	could
have	VB	have
like	IN	like
a	DT	a
the	DT	the
video	NN	video
which	WDT	which
summarises	VBZ	summarise
what	WP	what
the	DT	the
resources	NNS	resource
need	VBP	need
to	TO	to
be	VB	be
in	IN	in
terms	NNS	term
of	IN	of
er	NNS	<unknown>
of	IN	of
all	DT	all
you	PP	you
know	VBP	know
solving	VBG	solve
the	DT	the
problem	NN	problem
so	IN	so
you	PP	you
do	VBP	do
n't	RB	n't
have	VB	have
to	TO	to
go	VB	go
and	CC	and
watch	VB	watch
all	DT	all
six	CD	six
videos	NNS	video
you	PP	you
can	MD	can
just	RB	just
go	VB	go
straight	RB	straight
to	TO	to
Sunday	NP	Sunday
and	CC	and
Sunday	NP	Sunday
is	VBZ	be
going	VBG	go
well	RB	well
now	RB	now
we	PP	we
know	VBP	know
what	WP	what
the	DT	the
problem	NN	problem
is	VBZ	be
we	PP	we
now	RB	now
know	VBP	know
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
to	TO	to
solve	VB	solve
the	DT	the
problem	NN	problem
but	CC	but
we	PP	we
need	VBP	need
these	DT	these
things	NNS	thing
and	CC	and
those	DT	those
people	NNS	people
who	WP	who
come	VBP	come
in	IN	in
at	IN	at
a	DT	a
later	JJR	late
stage	NN	stage
can	MD	can
watch	VB	watch
that	DT	that
video	NN	video
and	CC	and
they	PP	they
're	VBP	be
like	JJ	like
oh	UH	oh
okay	RB	okay
I	PP	I
can	MD	can
do	VB	do
that	IN	that
I	PP	I
can	MD	can
offer	VB	offer
this	DT	this
I	PP	I
can	MD	can
co-create	VB	co-create
these	DT	these
things	NNS	thing
with	IN	with
these	DT	these
people	NNS	people
I	PP	I
'm	VBP	be
gonna	VBG	gonna
jump	NN	jump
into	IN	into
their	PP$	their
world	NN	world
and	CC	and
I	PP	I
'm	VBP	be
going	VBG	go
to	TO	to
attach	VB	attach
myself	PP	myself
to	TO	to
these	DT	these
people	NNS	people
who	WP	who
are	VBP	be
working	VBG	work
on	IN	on
this	DT	this
particular	JJ	particular
thing	NN	thing
and	CC	and
then	RB	then
I	PP	I
can	MD	can
grow	VB	grow
you	PP	you
know	VBP	know
I	PP	I
can	MD	can
offer	VB	offer
my	PP$	my
services	NNS	service
I	PP	I
can	MD	can
grow	VB	grow
business	NN	business
I	PP	I
can	MD	can
do	VB	do
whatever	WDT	whatever
I	PP	I
want	VBP	want
with	IN	with
these	DT	these
people	NNS	people
