yeah	RB	yeah
it	PP	it
's	VBZ	be
like	IN	like
a	DT	a
Chinese	JJ	Chinese
whispers	NNS	whisper
like	IN	like
you	PP	you
could	MD	could
do	VB	do
say	VB	say
you	PP	you
know	VB	know
Monday	NP	Monday
to	TO	to
Friday	NP	Friday
or	CC	or
or	CC	or
whatever	WDT	whatever
so	IN	so
you	PP	you
start	VBP	start
out	RP	out
with	IN	with
on	IN	on
Monday	NP	Monday
and	CC	and
you	PP	you
end	VBP	end
up	RP	up
with	IN	with
by	IN	by
Friday	NP	Friday
and	CC	and
then	RB	then
you	PP	you
interview	VB	interview
on	IN	on
Friday	NP	Friday
and	CC	and
you	PP	you
go	VBP	go
okay	RB	okay
so	RB	so
you	PP	you
're	VBP	be
coming	VBG	come
here	RB	here
through	IN	through
a	DT	a
connections	NNS	connection
of	IN	of
other	JJ	other
people	NNS	people
who	WP	who
's	VBZ	be
your	PP$	your
connection	NN	connection
?	SENT	?
well	RB	well
my	PP$	my
connection	NN	connection
is	VBZ	be
okay	JJ	okay
right	RB	right
well	RB	well
we	PP	we
met	VBD	meet
on	IN	on
Wednesday	NP	Wednesday
so	IN	so
we	PP	we
know	VBP	know
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
him	PP	him
so	RB	so
tell	VBP	tell
me	PP	me
okay	VB	okay
what	WP	what
's	VBZ	be
going	VBG	go
on	IN	on
there	RB	there
?	SENT	?
oh	UH	oh
right	RB	right
well	RB	well
we	PP	we
're	VBP	be
trying	VBG	try
to	TO	to
solve	VB	solve
a	DT	a
problem	NN	problem
okay	RB	okay
this	DT	this
is	VBZ	be
the	DT	the
problem	NN	problem
right	RB	right
good	JJ	good
so	IN	so
let	NN	let
's	POS	's
talk	NN	talk
about	IN	about
it	PP	it
and	CC	and
then	RB	then
it	PP	it
's	VBZ	be
like	IN	like
okay	JJ	okay
er	NNS	<unknown>
not	RB	not
have	VBP	have
you	PP	you
erm	NN	erm
met	VBN	meet
from	IN	from
Monday	NP	Monday
?	SENT	?
no	DT	no
but	CC	but
I	PP	I
can	MD	can
do	VB	do
now	RB	now
because	IN	because
I	PP	I
know	VBP	know
how	WRB	how
this	DT	this
works	NNS	work
I	PP	I
know	VBP	know
that	IN	that
we	PP	we
're	VBP	be
connected	VBN	connect
through	IN	through
the	DT	the
social	JJ	social
media	NNS	medium
or	CC	or
we	PP	we
are	VBP	be
connected	VBN	connect
because	IN	because
we	PP	we
were	VBD	be
introduced	VBN	introduce
physically	RB	physically
at	IN	at
a	DT	a
café	NN	café
whatever	WDT	whatever
so	RB	so
what	WP	what
you	PP	you
're	VBP	be
doing	VBG	do
is	VBZ	be
this	DT	this
you	PP	you
're	VBP	be
reflecting	VBG	reflect
back	RB	back
on	IN	on
the	DT	the
initial	JJ	initial
person	NN	person
who	WP	who
started	VBD	start
off	RP	off
the	DT	the
here	RB	here
's	VBZ	be
a	DT	a
problem	NN	problem
and	CC	and
then	RB	then
you	PP	you
've	VBP	have
actually	RB	actually
shown	VBN	show
how	WRB	how
people	NNS	people
are	VBP	be
coming	VBG	come
on	IN	on
board	NN	board
sharing	VBG	share
their	PP$	their
common	JJ	common
interests	NNS	interest
and	CC	and
sharing	VBG	share
their	PP$	their
common	JJ	common
concerns	NNS	concern
and	CC	and
that	IN	that
they	PP	they
're	VBP	be
showing	VBG	show
that	IN	that
they	PP	they
can	MD	can
go	VB	go
back	RB	back
to	TO	to
that	DT	that
person	NN	person
and	CC	and
have	VB	have
the	DT	the
connection	NN	connection
that	IN	that
they	PP	they
did	VBD	do
n't	RB	n't
originally	RB	originally
have	VB	have
had	VBN	have
the	DT	the
videos	NNS	video
not	RB	not
been	VBN	be
made	VBN	make
cos	NN	cos
the	DT	the
videos	NNS	video
in	IN	in
a	DT	a
way	NN	way
this	DT	this
is	VBZ	be
the	DT	the
narrative	NN	narrative
it	PP	it
's	VBZ	be
pushing	VBG	push
the	DT	the
story	NN	story
forward	RB	forward
