ah	UH	ah
did	VBD	do
you	PP	you
hear	VBP	hear
what	WP	what
erm	NN	erm
said	VBD	say
about	IN	about
and	NP	and
'	POS	'
s	NN	S
place	NN	place
?	SENT	?
th	NN	th
erm	NN	erm
their	PP$	their
bed	NN	bed
their	PP$	their
bed	NN	bed
had	VBD	have
no	DT	no
bed	NN	bed
slept	VBD	sleep
by	IN	by
other	JJ	other
people	NNS	people
their	PP$	their
bed	NN	bed
was	VBD	be
absolutely	RB	absolutely
filthy	JJ	filthy
and	CC	and
she	PP	she
said	VBD	say
when	WRB	when
you	PP	you
went	VBD	go
to	TO	to
get	VB	get
after	IN	after
the	DT	the
shower	NN	shower
you	PP	you
put	VBD	put
you	PP	you
looked	VBD	look
down	RP	down
and	CC	and
put	VB	put
to	TO	to
put	VB	put
your	PP$	your
foot	NN	foot
on	IN	on
the	DT	the
bathmat	NN	<unknown>
and	CC	and
the	DT	the
bathmat	NN	<unknown>
was	VBD	be
absolutely	RB	absolutely
filthy	JJ	filthy
and	CC	and
they	PP	they
did	VBD	do
n't	RB	n't
know	VB	know
and	CC	and
everything	NN	everything
in	IN	in
the	DT	the
in	IN	in
the	DT	the
house	NN	house
was	VBD	be
utterly	RB	utterly
filthy	JJ	filthy
so	IN	so
you	PP	you
know	VBP	know
other	JJ	other
people	NNS	people
who	WP	who
'd	VBD	have
been	VBN	be
invited	VBN	invite
for	IN	for
the	DT	the
weekend	NN	weekend
had	VBD	have
slept	VBN	sleep
in	IN	in
that	DT	that
bed	NN	bed
and	CC	and
they	PP	they
had	VBD	have
n't	RB	n't
cleaned	VBN	clean
they	PP	they
had	VBD	have
n't	RB	n't
changed	VBN	change
the	DT	the
beds	NNS	bed
