with	IN	with
my	PP$	my
dress	NN	dress
but	CC	but
of	IN	of
course	NN	course
they	PP	they
and	CC	and
I	PP	I
found	VBD	find
one	PP	one
well	RB	well
no	RB	no
I	PP	I
walked	VBD	walk
into	IN	into
Dorothy	NP	Dorothy
Perkins	NP	Perkins
and	CC	and
I	PP	I
did	VBD	do
n't	RB	n't
see	VB	see
anything	NN	anything
and	CC	and
then	RB	then
joined	VBD	join
me	PP	me
and	CC	and
we	PP	we
walked	VBD	walk
past	JJ	past
Dorothy	NP	Dorothy
Perkins	NP	Perkins
sh	NN	sh
and	CC	and
she	PP	she
looked	VBD	look
in	IN	in
the	DT	the
window	NN	window
and	CC	and
she	PP	she
said	VBD	say
that	IN	that
's	POS	's
nice	JJ	nice
said	VBN	say
oh	UH	oh
I	PP	I
like	VBP	like
that	IN	that
one	PP	one
and	CC	and
I	PP	I
said	VBD	say
she	PP	she
said	VBD	say
it	PP	it
's	VBZ	be
Evans	NP	Evans
not	RB	not
Dorothy	NP	Dorothy
Perkins	NP	Perkins
anyway	RB	anyway
it	PP	it
was	VBD	be
n't	RB	n't
it	PP	it
was	VBD	be
Dorothy	NP	Dorothy
Perkins	NP	Perkins
I	PP	I
said	VBD	say
well	RB	well
I	PP	I
've	VBP	have
been	VBN	be
in	IN	in
there	EX	there
so	RB	so
we	PP	we
went	VBD	go
in	IN	in
again	RB	again
and	CC	and
we	PP	we
could	MD	could
n't	RB	n't
find	VB	find
it	PP	it
so	IN	so
I	PP	I
asked	VBD	ask
the	DT	the
lady	NN	lady
in	IN	in
the	DT	the
who	WP	who
worked	VBD	work
there	RB	there
and	CC	and
I	PP	I
said	VBD	say
you	PP	you
've	VBP	have
got	VBN	get
erm	NN	erm
a	DT	a
bag	NN	bag
in	IN	in
the	DT	the
window	NN	window
and	CC	and
I	PP	I
ca	MD	ca
n't	RB	n't
find	VB	find
it	PP	it
and	CC	and
so	RB	so
she	PP	she
had	VBD	have
a	DT	a
look	NN	look
and	CC	and
she	PP	she
went	VBD	go
and	CC	and
she	PP	she
came	VBD	come
back	RB	back
and	CC	and
she	PP	she
's	VBZ	be
yes	RB	yes
erm	JJ	<unknown>
it	PP	it
's	VBZ	be
the	DT	the
only	JJ	only
one	CD	one
we	PP	we
've	VBP	have
got	VBN	get
