cos	NN	cos
we	PP	we
're	VBP	be
his	PP$	his
like	IN	like
we	PP	we
're	VBP	be
good	JJ	good
friends	NNS	friend
of	IN	of
his	PP$	his
and	CC	and
you	PP	you
know	VBP	know
we	PP	we
really	RB	really
it	PP	it
's	VBZ	be
obvious	JJ	obvious
that	IN	that
we	PP	we
have	VBP	have
lot	NN	lot
of	IN	of
respect	NN	respect
for	IN	for
him	PP	him
by	IN	by
default	NN	default
it	PP	it
's	VBZ	be
you	PP	you
know	VBP	know
it	PP	it
there	RB	there
's	VBZ	be
no	RB	no
there	RB	there
should	MD	should
be	VB	be
no	DT	no
issue	NN	issue
there	EX	there
should	MD	should
be	VB	be
no	DT	no
question	NN	question
of	IN	of
that	DT	that
really	RB	really
so	RB	so
that	IN	that
just	RB	just
yeah	RB	yeah
so	IN	so
today	NN	today
he	PP	he
's	VBZ	have
been	VBN	be
in	IN	in
top	NN	top
spaced	VBN	space
out	IN	out
form	NN	form
so	IN	so
he	PP	he
's	VBZ	be
sending	VBG	send
all	PDT	all
these	DT	these
emails	NNS	email
which	WDT	which
are	VBP	be
erm	JJ	<unknown>
proo	NN	<unknown>
which	WDT	which
are	VBP	be
as	IN	as
a	DT	a
result	NN	result
of	IN	of
the	DT	the
fact	NN	fact
that	IN	that
he	PP	he
's	VBZ	be
not	RB	not
read	VBN	read
any	DT	any
of	IN	of
the	DT	the
emails	NNS	email
that	IN	that
we	PP	we
've	VBP	have
sent	VBN	send
before	RB	before
and	CC	and
he	PP	he
's	VBZ	be
ask	VB	ask
now	RB	now
he	PP	he
's	VBZ	be
asking	VBG	ask
the	DT	the
questions	NNS	question
as	RB	as
if	IN	if
we	PP	we
've	VBP	have
never	RB	never
spoken	VBN	speak
about	IN	about
it	PP	it
but	CC	but
we	PP	we
've	VBP	have
sent	VBN	send
about	IN	about
a	DT	a
billion	NN	billion
emails	NNS	email
on	IN	on
the	DT	the
subject	NN	subject
to	TO	to
him	PP	him
personally	RB	personally
and	CC	and
each	DT	each
other	JJ	other
and	CC	and
he	PP	he
's	VBZ	be
obviously	RB	obviously
just	RB	just
not	RB	not
read	VB	read
any	DT	any
of	IN	of
them	PP	them
so	IN	so
we	PP	we
're	VBP	be
back	RB	back
to	TO	to
square	VB	square
one	CD	one
with	IN	with
him	PP	him
you	PP	you
know	VBP	know
and	CC	and
it	PP	it
's	VBZ	be
a	DT	a
little	JJ	little
bit	NN	bit
like	IN	like
and	CC	and
he	PP	he
's	VBZ	be
sending	VBG	send
them	PP	them
all	DT	all
to	TO	to
the	DT	the
wrong	JJ	wrong
email	NN	<unknown>
addresses	NNS	address
and	CC	and
stuff	VBP	stuff
it	PP	it
's	VBZ	be
like	JJ	like
so	RB	so
not	RB	not
on	IN	on
the	DT	the
case	NN	case
I	PP	I
mean	VBP	mean
you	PP	you
ca	MD	ca
n't	RB	n't
he	PP	he
's	VBZ	be
one	CD	one
of	IN	of
those	DT	those
people	NNS	people
that	IN	that
he	PP	he
reminds	VBZ	remind
me	PP	me
a	DT	a
bit	NN	bit
of	IN	of
do	VB	do
you	PP	you
remember	VB	remember
you	PP	you
met	VBD	meet
?	SENT	?
