we	PP	we
had	VBD	have
this	DT	this
talk	NN	talk
anyway	RB	anyway
and	CC	and
I	PP	I
said	VBD	say
to	TO	to
him	PP	him
I	PP	I
'm	VBP	be
glad	JJ	glad
that	IN	that
you	PP	you
've	VBP	have
done	VBN	do
this	DT	this
thing	NN	thing
here	RB	here
and	CC	and
that	IN	that
you	PP	you
've	VBP	have
he	PP	he
he	PP	he
said	VBD	say
he	PP	he
feels	VBZ	feel
at	IN	at
a	DT	a
calmer	JJR	calm
place	NN	place
now	RB	now
and	CC	and
that	IN	that
he	PP	he
felt	VBD	feel
like	IN	like
the	DT	the
old	JJ	old
proverb	NN	proverb
of	IN	of
the	DT	the
wind	NN	wind
and	CC	and
the	DT	the
sun	NN	sun
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
the	DT	the
man	NN	man
walking	VBG	walk
along	RP	along
in	IN	in
the	DT	the
coat	NN	coat
and	CC	and
he	PP	he
was	VBD	be
the	DT	the
wind	NN	wind
and	CC	and
the	DT	the
harder	JJR	hard
he	PP	he
blew	VBD	blow
the	DT	the
tighter	JJR	tight
I	PP	I
've	VBP	have
put	VBN	put
the	DT	the
coat	NN	coat
around	RB	around
and	CC	and
that	IN	that
as	RB	as
soon	RB	soon
as	IN	as
the	DT	the
sun	NN	sun
came	VBD	come
out	RP	out
the	DT	the
coat	NN	coat
would	MD	would
come	VB	come
off	RP	off
and	CC	and
he	PP	he
he	PP	he
'd	VBD	have
done	VBN	do
this	DT	this
thinking	NN	thinking
and	CC	and
then	RB	then
I	PP	I
said	VBD	say
to	TO	to
him	PP	him
this	DT	this
is	VBZ	be
like	IN	like
the	DT	the
first	JJ	first
bit	NN	bit
of	IN	of
sense	NN	sense
that	IN	that
you	PP	you
've	VBP	have
spoken	VBN	speak
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
and	CC	and
he	PP	he
said	VBD	say
I	PP	I
'm	VBP	be
glad	JJ	glad
as	IN	as
painful	JJ	painful
as	IN	as
it	PP	it
's	VBZ	have
been	VBN	be
that	IN	that
you	PP	you
've	VBP	have
come	VBN	come
to	TO	to
this	DT	this
understanding	NN	understanding
