great	JJ	great
so	IN	so
I	PP	I
'm	VBP	be
like	JJ	like
on	IN	on
this	DT	this
blooming	VBG	bloom
slip	NN	slip
road	NN	road
trying	VBG	try
to	TO	to
join	VB	join
the	DT	the
A14	NP	A@card@
cos	NN	cos
I	PP	I
tend	VBP	tend
to	TO	to
like	VB	like
there	EX	there
's	VBZ	be
this	DT	this
bit	NN	bit
or	CC	or
like	VB	like
as	IN	as
you	PP	you
go	VBP	go
past	JJ	past
and	CC	and
like	IN	like
there	EX	there
's	VBZ	be
like	IN	like
a	DT	a
bridge	NN	bridge
and	CC	and
like	IN	like
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
if	IN	if
you	PP	you
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
how	WRB	how
well	RB	well
you	PP	you
know	VBP	know
like	IN	like
there	EX	there
's	VBZ	be
erm	NN	erm
it	PP	it
's	VBZ	be
the	DT	the
bi	NN	bi
there	EX	there
's	VBZ	be
a	DT	a
big	JJ	big
like	IN	like
Co-op	NP	Co-op
or	CC	or
like	JJ	like
distribution	NN	distribution
on	IN	on
the	DT	the
right-hand	JJ	right-hand
side	NN	side
and	CC	and
like	VB	like
like	IN	like
there	EX	there
's	VBZ	be
always	RB	always
traffic	NN	traffic
stopped	VBD	stop
there	RB	there
and	CC	and
I	PP	I
always	RB	always
tend	VBP	tend
to	TO	to
come	VB	come
off	RP	off
at	IN	at
the	DT	the
A14	NP	A@card@
and	CC	and
go	VB	go
down	RB	down
and	CC	and
then	RB	then
come	VB	come
back	RB	back
up	IN	up
the	DT	the
other	JJ	other
side	NN	side
cos	NN	cos
you	PP	you
do	VBP	do
cut	VB	cut
out	RP	out
like	IN	like
a	DT	a
big	JJ	big
chunk	NN	chunk
of	IN	of
the	DT	the
traffic	NN	traffic
normally	RB	normally
