spoon	VB	spoon
yeah	RB	yeah
erm	JJ	<unknown>
yeah	RB	yeah
and	CC	and
so	RB	so
they	PP	they
were	VBD	be
arguing	VBG	argue
all	DT	all
weekend	NN	weekend
about	IN	about
he	PP	he
's	VBZ	be
just	RB	just
like	IN	like
everything	NN	everything
I	PP	I
do	VBP	do
for	IN	for
you	PP	you
you	PP	you
do	VBP	do
n't	RB	n't
care	VB	care
about	IN	about
you	PP	you
know	VBP	know
like	IN	like
erm	NN	erm
I	PP	I
cook	VBP	cook
you	PP	you
dinner	NN	dinner
and	CC	and
you	PP	you
think	VBP	think
that	IN	that
and	CC	and
you	PP	you
criticise	VBP	criticise
me	PP	me
because	IN	because
I	PP	I
do	VBP	do
n't	RB	n't
tell	VB	tell
you	PP	you
that	IN	that
I	PP	I
care	VBP	care
you	PP	you
know	VBP	know
actions	NNS	action
speak	VBP	speak
louder	RBR	louder
than	IN	than
word	NN	word
and	CC	and
I	PP	I
'm	VBP	be
showing	VBG	show
you	PP	you
that	IN	that
I	PP	I
care	VBP	care
but	CC	but
I	PP	I
'm	VBP	be
like	JJ	like
but	CC	but
it	PP	it
's	VBZ	be
not	RB	not
like	JJ	like
for	IN	for
girls	NNS	girl
you	PP	you
need	VBP	need
that	IN	that
verbal	JJ	verbal
affirmation	NN	affirmation
as	IN	as
well	RB	well
it	PP	it
's	VBZ	be
just	RB	just
a	DT	a
thing	NN	thing
like	IN	like
I	PP	I
do	VBP	do
think	VB	think
actions	NNS	action
are	VBP	be
important	JJ	important
do	VBP	do
n't	RB	n't
get	VB	get
me	PP	me
wrong	JJ	wrong
but	CC	but
I	PP	I
think	VBP	think
all	DT	all
girls	NNS	girl
also	RB	also
do	VBP	do
need	VB	need
that	DT	that
verbal	JJ	verbal
confirmation	NN	confirmation
it	PP	it
's	VBZ	be
just	RB	just
