no	RB	no
it	PP	it
was	VBD	be
like	IN	like
cos	NN	cos
she	PP	she
was	VBD	be
ill	JJ	ill
and	CC	and
it	PP	it
was	VBD	be
like	IN	like
her	PP$	her
last	JJ	last
like	IN	like
they	PP	they
wanted	VBD	want
to	TO	to
like	VB	like
treat	VB	treat
her	PP	her
and	CC	and
er	NNS	<unknown>
like	IN	like
it	PP	it
was	VBD	be
really	RB	really
nice	JJ	nice
amazing	JJ	amazing
to	TO	to
arrange	VB	arrange
the	DT	the
thing	NN	thing
at	IN	at
the	DT	the
Science	NP	Science
Museum	NP	Museum
but	CC	but
then	RB	then
she	PP	she
said	VBD	say
it	PP	it
was	VBD	be
like	IN	like
she	PP	she
like	VBP	like
loved	VBD	love
it	PP	it
but	CC	but
then	RB	then
like	IN	like
they	PP	they
'd	MD	will
be	VB	be
like	IN	like
cock	NN	cock
and	CC	and
like	IN	like
the	DT	the
scientist	NN	scientist
was	VBD	be
like	IN	like
cos	NN	cos
she	PP	she
'd	MD	will
like	VB	like
arranged	VBD	arrange
she	PP	she
'd	MD	will
like	VB	like
got	VBN	get
permission	NN	permission
from	IN	from
work	NN	work
cos	NN	cos
they	PP	they
sent	VBD	send
like	IN	like
a	DT	a
really	RB	really
sad	JJ	sad
email	NN	<unknown>
like	IN	like
said	VBD	say
our	PP$	our
friend	NN	friend
's	VBZ	be
like	IN	like
dying	VBG	die
and	CC	and
she	PP	she
like	VBP	like
loves	VBZ	love
your	PP$	your
museum	NN	museum
and	CC	and
stuff	NN	stuff
and	CC	and
then	RB	then
said	VBD	say
yeah	RB	yeah
when	WRB	when
I	PP	I
got	VBD	get
there	EX	there
