walk	VB	walk
that	IN	that
he	PP	he
's	VBZ	be
planning	VBG	plan
on	IN	on
the	DT	the
isle	NN	isle
of	IN	of
Skye	NP	Skye
and	CC	and
I	PP	I
said	VBD	say
and	CC	and
it	PP	it
cheers	VBZ	cheer
me	PP	me
up	IN	up
I	PP	I
said	VBD	say
er	NN	er
I	PP	I
come	VBP	come
and	CC	and
talk	VBP	talk
to	TO	to
you	PP	you
and	CC	and
it	PP	it
's	VBZ	be
all	RB	all
about	RB	about
why	WRB	why
do	VBP	do
n't	RB	n't
you	PP	you
love	VBP	love
me	PP	me
?	SENT	?
why	WRB	why
wo	MD	wo
n't	RB	n't
you	PP	you
love	VBP	love
me	PP	me
and	CC	and
all	PDT	all
this	DT	this
sort	NN	sort
of	IN	of
thing	NN	thing
and	CC	and
he	PP	he
and	CC	and
I	PP	I
said	VBD	say
and	CC	and
it	PP	it
just	RB	just
churns	VBZ	churn
me	PP	me
up	IN	up
I	PP	I
'm	VBP	be
supposed	VBN	suppose
to	TO	to
be	VB	be
getting	VBG	get
better	RBR	well
and	CC	and
he	PP	he
said	VBD	say
I	PP	I
feel	VBP	feel
I	PP	I
am	VBP	be
partly	RB	partly
responsible	JJ	responsible
for	IN	for
you	PP	you
being	VBG	be
poorly	RB	poorly
and	CC	and
not	RB	not
sleeping	VBG	sleep
well	RB	well
and	CC	and
I	PP	I
said	VBD	say
well	RB	well
you	PP	you
are	VBP	be
because	IN	because
I	PP	I
said	VBD	say
how	WRB	how
can	MD	can
I	PP	I
recover	VB	recover
when	WRB	when
you	PP	you
you	PP	you
're	VBP	be
putting	VBG	put
all	RB	all
of	IN	of
this	DT	this
on	IN	on
me	PP	me
?	SENT	?
and	CC	and
in	IN	in
the	DT	the
end	NN	end
he	PP	he
said	VBD	say
to	TO	to
me	PP	me
I	PP	I
get	VBP	get
a	DT	a
distinct	JJ	distinct
feeling	NN	feeling
that	IN	that
if	IN	if
you	PP	you
were	VBD	be
n't	RB	n't
with	IN	with
you	PP	you
still	RB	still
would	MD	would
n't	RB	n't
be	VB	be
with	IN	with
me	PP	me
and	CC	and
I	PP	I
said	VBD	say
