yeah	RB	yeah
but	CC	but
she	PP	she
she	PP	she
was	VBD	be
really	RB	really
good	JJ	good
but	CC	but
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
cos	NN	cos
you	PP	you
always	RB	always
expect	VBP	expect
people	NNS	people
like	IN	like
she	PP	she
was	VBD	be
very	RB	very
much	JJ	much
into	IN	into
her	PP$	her
yoga	NN	yoga
and	CC	and
she	PP	she
was	VBD	be
all	DT	all
about	IN	about
the	DT	the
spirituality	NN	spirituality
of	IN	of
yoga	NN	yoga
and	CC	and
the	DT	the
the	DT	the
she	PP	she
was	VBD	be
like	JJ	like
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
join	VB	join
in	IN	in
with	IN	with
the	DT	the
the	DT	the
please	RB	please
do	VBP	do
I	PP	I
was	VBD	be
like	IN	like
no	DT	no
but	CC	but
erm	NN	erm
but	CC	but
then	RB	then
it	PP	it
's	VBZ	be
weird	JJ	weird
because	IN	because
she	PP	she
was	VBD	be
quite	RB	quite
not	RB	not
unfit	JJ	unfit
but	CC	but
just	RB	just
she	PP	she
was	VBD	be
a	DT	a
bit	NN	bit
overweight	JJ	overweight
erm	NN	erm
there	EX	there
's	VBZ	be
this	DT	this
one	CD	one
pose	NN	pose
where	WRB	where
you	PP	you
have	VBP	have
to	TO	to
kind	NN	kind
of	IN	of
not	RB	not
do	VB	do
a	DT	a
press	NN	press
up	RP	up
but	CC	but
you	PP	you
have	VBP	have
to	TO	to
lower	VB	lower
yourself	PP	yourself
into	IN	into
the	DT	the
right	JJ	right
position	NN	position
and	CC	and
then	RB	then
straighten	VB	straighten
your	PP$	your
back	NN	back
out	RP	out
and	CC	and
you	PP	you
have	VBP	have
to	TO	to
go	VB	go
down	RP	down
with	IN	with
your	PP$	your
arms	NNS	arm
so	IN	so
it	PP	it
was	VBD	be
a	DT	a
bit	NN	bit
like	IN	like
a	DT	a
press	NN	press
up	IN	up
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
floor	NN	floor
and	CC	and
she	PP	she
like	VBP	like
it	PP	it
's	VBZ	have
taken	VBN	take
me	PP	me
a	DT	a
long	JJ	long
time	NN	time
to	TO	to
learn	VB	learn
to	TO	to
do	VB	do
this	DT	this
because	IN	because
you	PP	you
have	VBP	have
to	TO	to
support	VB	support
your	PP$	your
whole	JJ	whole
body	NN	body
weight	NN	weight
and	CC	and
everything	NN	everything
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
it	PP	it
's	VBZ	be
not	RB	not
that	DT	that
difficult	JJ	difficult
