when	WRB	when
I	PP	I
was	VBD	be
doing	VBG	do
organising	VBG	organise
the	DT	the
Christmas	NP	Christmas
party	NN	party
for	IN	for
the	DT	the
head	NN	head
office	NN	office
because	IN	because
I	PP	I
'm	VBP	be
not	RB	not
there	RB	there
one	CD	one
of	IN	of
the	DT	the
girls	NNS	girl
that	WDT	that
was	VBD	be
there	EX	there
was	VBD	be
meant	VBN	mean
to	TO	to
be	VB	be
doing	VBG	do
bits	NNS	bit
and	CC	and
pieces	NNS	piece
for	IN	for
me	PP	me
erm	NN	erm
and	CC	and
she	PP	she
was	VBD	be
a	DT	a
PA	NN	pa
as	IN	as
well	RB	well
and	CC	and
I	PP	I
said	VBD	say
to	TO	to
at	IN	at
one	PP	one
stage	VBP	stage
I	PP	I
'm	VBP	be
really	RB	really
sorry	JJ	sorry
this	DT	this
like	IN	like
you	PP	you
know	VBP	know
I	PP	I
I	PP	I
assured	VBD	assure
you	PP	you
that	IN	that
this	DT	this
had	VBD	have
been	VBN	be
done	VBN	do
because	IN	because
I	PP	I
was	VBD	be
being	VBG	be
told	VBN	tell
it	PP	it
was	VBD	be
look	NN	look
been	VBN	be
looked	VBN	look
after	IN	after
I	PP	I
said	VBD	say
and	CC	and
it	PP	it
and	CC	and
it	PP	it
was	VBD	be
n't	RB	n't
done	VBN	do
but	CC	but
I	PP	I
sorted	VBD	sort
it	PP	it
out	RP	out
now	RB	now
I	PP	I
've	VBP	have
done	VBN	do
this	DT	this
done	VBN	do
that	IN	that
done	VBN	do
the	DT	the
other	JJ	other
I	PP	I
said	VBD	say
who	WP	who
was	VBD	be
meant	VBN	mean
to	TO	to
have	VB	have
been	VBN	be
doing	VBG	do
it	PP	it
er	JJ	<unknown>
and	CC	and
I	PP	I
told	VBD	tell
him	PP	him
the	DT	the
girl	NN	girl
's	POS	's
name	NN	name
and	CC	and
he	PP	he
said	VBD	say
well	RB	well
just	RB	just
bypass	VB	bypass
her	PP	her
then	RB	then
do	VBP	do
n't	RB	n't
ask	VB	ask
her	PP	her
to	TO	to
do	VB	do
anything	NN	anything
more	JJR	more
and	CC	and
then	RB	then
er	NNS	<unknown>
after	IN	after
the	DT	the
New	NP	New
Year	NN	year
erm	NN	erm
I	PP	I
got	VBD	get
an	DT	an
email	NN	<unknown>
I	PP	I
'd	VBD	have
been	VBN	be
talking	VBG	talk
to	TO	to
another	DT	another
lady	NN	lady
erm	NN	erm
about	IN	about
something	NN	something
else	RB	else
on	IN	on
behalf	NN	behalf
of	IN	of
one	CD	one
of	IN	of
the	DT	the
directors	NNS	director
that	IN	that
this	DT	this
girl	NN	girl
had	VBD	have
been	VBN	be
a	DT	a
dir	NN	dir
a	DT	a
PA	NN	pa
for	IN	for
