odd	JJ	odd
not	RB	not
to	TO	to
and	CC	and
then	RB	then
he	PP	he
said	VBD	say
oh	UH	oh
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
bar	VB	bar
?	SENT	?
so	RB	so
I	PP	I
said	VBD	say
yeah	RB	yeah
said	VBD	say
oh	UH	oh
I	PP	I
'll	MD	will
come	VB	come
with	IN	with
you	PP	you
so	IN	so
he	PP	he
came	VBD	come
up	RP	up
to	TO	to
the	DT	the
bar	NN	bar
with	IN	with
me	PP	me
so	IN	so
I	PP	I
said	VBD	say
do	VB	do
you	PP	you
want	VB	want
a	DT	a
drink	NN	drink
?	SENT	?
so	RB	so
he	PP	he
said	VBD	say
oh	UH	oh
oh	UH	oh
alright	RB	alright
then	RB	then
another	DT	another
pint	NN	pint
of	IN	of
Peroni	NP	Peroni
so	IN	so
I	PP	I
said	VBD	say
oh	UH	oh
I	PP	I
've	VBP	have
got	VBN	get
a	DT	a
few	JJ	few
to	TO	to
get	VB	get
so	IN	so
he	PP	he
said	VBD	say
oh	UH	oh
I	PP	I
'll	MD	will
help	VB	help
you	PP	you
carry	VB	carry
them	PP	them
back	RB	back
so	RB	so
I	PP	I
said	VBD	say
you	PP	you
'll	MD	will
know	VB	know
all	PDT	all
the	DT	the
Shakespeare	NP	Shakespeare
stuff	NN	stuff
now	RB	now
cos	NN	cos
you	PP	you
've	VBP	have
he	PP	he
said	VBD	say
well	RB	well
I	PP	I
want	VBP	want
to	TO	to
hear	VB	hear
it	PP	it
from	IN	from
your	PP$	your
perspective	NN	perspective
cos	NN	cos
I	PP	I
trust	VBP	trust
you	PP	you
so	IN	so
I	PP	I
just	RB	just
said	VBD	say
you	PP	you
've	VBP	have
been	VBN	be
chatting	VBG	chat
with	IN	with
I	PP	I
said	VBD	say
she	PP	she
told	VBD	tell
you	PP	you
all	RB	all
of	IN	of
the	DT	the
no	UH	no
no	UH	no
no	UH	no
tell	VB	tell
me	PP	me
tell	VB	tell
me	PP	me
so	IN	so
we	PP	we
're	VBP	be
taking	VBG	take
drinks	NNS	drink
back	RB	back
and	CC	and
forward	RB	forward
and	CC	and
I	PP	I
was	VBD	be
telling	VBG	tell
him	PP	him
but	CC	but
then	RB	then
our	PP$	our
two	CD	two
drinks	NNS	drink
are	VBP	be
last	JJ	last
on	IN	on
the	DT	the
bar	NN	bar
