there	EX	there
's	VBZ	be
one	CD	one
I	CD	@card@
I	PP	I
ended	VBD	end
up	RP	up
with	IN	with
a	DT	a
whole	JJ	whole
stack	NN	stack
of	IN	of
CDs	NNS	CD
ten	CD	ten
CDs	NNS	CD
and	CC	and
they	PP	they
were	VBD	be
selling	VBG	sell
them	PP	them
for	IN	for
twenty-five	JJ	<unknown>
P	NN	P
each	DT	each
and	CC	and
they	PP	they
're	VBP	be
all	DT	all
ones	NNS	one
that	IN	that
I	PP	I
I	PP	I
I	PP	I
love	VBP	love
cos	NN	cos
they	PP	they
're	VBP	be
worship	NN	worship
songs	NNS	song
and	CC	and
they	PP	they
're	VBP	be
hymns	NNS	hymn
and	CC	and
they	PP	they
're	VBP	be
carols	NNS	carol
and	CC	and
they	PP	they
're	VBP	be
the	DT	the
best	JJS	good
of	IN	of
British	JJ	British
thing	NN	thing
Elgar	NN	Elgar
and	CC	and
you	PP	you
know	VBP	know
all	PDT	all
all	DT	all
good	JJ	good
quality	NN	quality
and	CC	and
one	CD	one
of	IN	of
them	PP	them
's	VBZ	have
got	VBN	get
four	CD	four
discs	NNS	disc
in	IN	in
I	PP	I
think	VBP	think
you	PP	you
know	VBP	know
so	RB	so
I	PP	I
gave	VBD	give
them	PP	them
ten	CD	ten
pounds	NNS	pound
and	CC	and
we	PP	we
made	VBD	make
it	PP	it
a	DT	a
pound	NN	pound
each	DT	each
you	PP	you
know	VBP	know
?	SENT	?
goodness	NN	goodness
me	PP	me
and	CC	and
I	PP	I
and	CC	and
I	PP	I
've	VBP	have
had	VBN	have
so	RB	so
much	JJ	much
fun	NN	fun
from	IN	from
them	PP	them
it	PP	it
's	VBZ	be
lovely	JJ	lovely
Winchester	NP	Winchester
Carols	NPS	Carol
from	IN	from
Winchester	NP	Winchester
Cathedral	NP	Cathedral
that	WDT	that
's	VBZ	be
a	DT	a
lovely	JJ	lovely
one	CD	one
it	PP	it
's	VBZ	be
beautiful	JJ	beautiful
and	CC	and
they	PP	they
've	VBP	have
got	VBN	get
trumpet	NN	trumpet
and	CC	and
de	FW	de
de	FW	de
de	FW	de
de	FW	de
de	FW	de
de	FW	de
de	FW	de
you	PP	you
da	NP	da
da	NP	da
da	NP	da
da	NP	da
da	NP	da
