there	EX	there
's	VBZ	be
this	DT	this
thing	NN	thing
now	RB	now
called	VBD	call
Risk	NP	Risk
Legacy	NP	Legacy
which	WDT	which
we	PP	we
bought	VBD	buy
my	PP$	my
dad	NN	dad
for	IN	for
Christmas	NP	Christmas
about	IN	about
a	DT	a
year	NN	year
ago	RB	ago
it	PP	it
's	VBZ	be
like	IN	like
when	WRB	when
you	PP	you
conquer	VBP	conquer
a	DT	a
territory	NN	territory
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
you	PP	you
get	VBP	get
to	TO	to
name	VB	name
it	PP	it
and	CC	and
you	PP	you
write	VBP	write
on	IN	on
the	DT	the
board	NN	board
the	DT	the
name	NN	name
of	IN	of
it	PP	it
and	CC	and
then	RB	then
it	PP	it
's	VBZ	be
the	DT	the
third	JJ	third
person	NN	person
who	WP	who
gets	VBZ	get
like	IN	like
three	CD	three
tanks	NNS	tank
in	IN	in
their	PP$	their
army	NN	army
then	RB	then
gets	VBZ	get
to	TO	to
put	VB	put
a	DT	a
sticker	NN	sticker
on	IN	on
a	DT	a
and	CC	and
like	VBP	like
plus	IN	plus
one	CD	one
tanks	NNS	tank
or	CC	or
whatever	WDT	whatever
so	IN	so
you	PP	you
can	MD	can
like	VB	like
modify	VB	modify
the	DT	the
boards	NNS	board
as	IN	as
you	PP	you
play	VBP	play
it	PP	it
but	CC	but
yeah	RB	yeah
I	PP	I
never	RB	never
really	RB	really
I	PP	I
never	RB	never
really	RB	really
got	VBN	get
into	IN	into
Risk	NP	Risk
