oh	UH	oh
I	PP	I
loved	VBD	love
that	IN	that
that	DT	that
's	VBZ	be
the	DT	the
thing	NN	thing
about	IN	about
car	NN	car
boot	NN	boot
sales	NNS	sale
like	VBP	like
it	PP	it
is	VBZ	be
quite	RB	quite
heartbreaking	JJ	heartbreaking
cos	NN	cos
it	PP	it
's	VBZ	be
all	PDT	all
the	DT	the
stuff	NN	stuff
that	IN	that
you	PP	you
used	VBD	use
to	TO	to
like	VB	like
love	NN	love
and	CC	and
the	DT	the
stuff	NN	stuff
that	IN	that
you	PP	you
saved	VBD	save
up	RP	up
loads	NNS	load
of	IN	of
money	NN	money
for	IN	for
or	CC	or
the	DT	the
stuff	NN	stuff
that	IN	that
you	PP	you
begged	VBD	beg
for	IN	for
at	IN	at
Christmas	NP	Christmas
and	CC	and
now	RB	now
obviously	RB	obviously
you	PP	you
have	VBP	have
no	DT	no
use	NN	use
for	IN	for
it	PP	it
you	PP	you
do	VBP	do
n't	RB	n't
want	VB	want
it	PP	it
but	CC	but
the	DT	the
thought	NN	thought
that	IN	that
then	RB	then
somebody	NN	somebody
haggles	VBZ	haggle
from	IN	from
haggles	VBZ	haggle
you	PP	you
from	IN	from
a	DT	a
pound	NN	pound
to	TO	to
fifty	CD	fifty
P	NN	P
and	CC	and
you	PP	you
're	VBP	be
like	IN	like
when	WRB	when
I	PP	I
bought	VBD	buy
that	IN	that
that	DT	that
was	VBD	be
like	IN	like
thirty	CD	thirty
quid	NN	quid
like	IN	like
we	PP	we
sold	VBD	sell
my	PP$	my
two	CD	two
erm	NN	erm
china	NN	china
dolls	NNS	doll
do	VBP	do
you	PP	you
remember	VB	remember
them	PP	them
?	SENT	?
