tomorrow	NN	tomorrow
is	VBZ	be
a	DT	a
quiet	JJ	quiet
day	NN	day
As	IN	as
in	IN	in
you	PP	you
um	JJ	<unknown>
we	PP	we
start	VBP	start
at	IN	at
half	DT	half
eight	CD	eight
and	CC	and
we	PP	we
'll	MD	will
sh	RB	<unknown>
show	VB	show
you	PP	you
round	VB	round
see	VB	see
what	WP	what
happens	VBZ	happen
and	CC	and
then	RB	then
at	IN	at
half	DT	half
nine	CD	nine
you	PP	you
've	VBP	have
got	VBN	get
a	DT	a
health	NN	health
and	CC	and
safety	NN	safety
induction	NN	induction
which	WDT	which
is	VBZ	be
just	RB	just
compulsory	JJ	compulsory
um	NNS	<unknown>
but	CC	but
the	DT	the
person	NN	person
who	WP	who
does	VBZ	do
it	PP	it
is	VBZ	be
very	RB	very
nice	JJ	nice
she	PP	she
's	VBZ	have
called	VBN	call
that	DT	that
's	VBZ	be
for	IN	for
about	RB	about
half	PDT	half
an	DT	an
hour	NN	hour
to	TO	to
an	DT	an
hour	NN	hour
I	PP	I
think	VBP	think
and	CC	and
then	RB	then
um	RB	<unknown>
basically	RB	basically
we	PP	we
're	VBP	be
all	RB	all
gonna	VBG	gonna
take	VB	take
turns	NNS	turn
telling	VBG	tell
you	PP	you
a	DT	a
bit	NN	bit
about	IN	about
the	DT	the
and	CC	and
what	WP	what
we	PP	we
do	VBP	do
and	CC	and
what	WP	what
you	PP	you
'll	MD	will
be	VB	be
doing	VBG	do
and	CC	and
in	IN	in
the	DT	the
afternoon	NN	afternoon
I	PP	I
'm	VBP	be
gonna	VBG	gonna
show	VB	show
you	PP	you
the	DT	the
kind	NN	kind
of	IN	of
I	PP	I
'm	VBP	be
gonna	VBG	gonna
start	VB	start
you	PP	you
off	IN	off
I	PP	I
basically	RB	basically
I	PP	I
've	VBP	have
got	VBN	get
lots	NNS	lot
of	IN	of
tasks	NNS	task
and	CC	and
I	PP	I
'm	VBP	be
gonna	VBG	gonna
start	VB	start
you	PP	you
off	RP	off
on	IN	on
them	PP	them
on	IN	on
different	JJ	different
days	NNS	day
and	CC	and
then	RB	then
you	PP	you
can	MD	can
just	RB	just
kind	RB	kind
of	IN	of
get	VB	get
on	IN	on
with	IN	with
them	PP	them
as	IN	as
you	PP	you
will	MD	will
just	RB	just
do	VB	do
what	WP	what
you	PP	you
want	VBP	want
when	WRB	when
you	PP	you
want	VBP	want
um	NNS	<unknown>
so	IN	so
I	PP	I
'm	VBP	be
gonna	VBG	gonna
start	VB	start
you	PP	you
off	RP	off
with	IN	with
one	CD	one
of	IN	of
them	PP	them
on	IN	on
Monday	NP	Monday
afternoon	NN	afternoon
