oh	UH	oh
my	PP$	my
god	NN	god
when	WRB	when
we	PP	we
were	VBD	be
in	IN	in
I	PP	I
did	VBD	do
n't	RB	n't
see	VB	see
many	JJ	many
couples	NNS	couple
I	PP	I
was	VBD	be
so	RB	so
happy	JJ	happy
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
groups	NNS	group
of	IN	of
friends	NNS	friend
in	IN	in
the	DT	the
erm	NN	erm
nando	NN	<unknown>
's	VBZ	be
I	PP	I
went	VBD	go
to	TO	to
I	PP	I
was	VBD	be
so	RB	so
happy	JJ	happy
but	CC	but
then	RB	then
we	PP	we
went	VBD	go
like	IN	like
it	PP	it
was	VBD	be
early	RB	early
so	RB	so
we	PP	we
was	VBD	be
like	IN	like
let	NN	let
's	POS	's
just	RB	just
go	VB	go
cinema	NN	cinema
and	CC	and
just	RB	just
watch	VB	watch
something	NN	something
we	PP	we
are	VBP	be
not	RB	not
watching	VBG	watch
Fifty	CD	fifty
Shades	NNS	shade
my	PP$	my
sister	NN	sister
's	POS	's
seventeen	CD	seventeen
anyway	RB	anyway
she	PP	she
ca	MD	ca
n't	RB	n't
watch	VB	watch
it	PP	it
so	IN	so
we	PP	we
was	VBD	be
gonna	VBG	gonna
watch	NN	watch
erm	NN	erm
the	DT	the
Kingsman	NP	<unknown>
right	NN	right
?	SENT	?
cos	NN	cos
you	PP	you
said	VBD	say
it	PP	it
was	VBD	be
good	JJ	good
and	CC	and
my	PP$	my
sister	NN	sister
said	VBD	say
her	PP$	her
friend	NN	friend
said	VBD	say
it	PP	it
was	VBD	be
good	JJ	good
too	RB	too
so	RB	so
we	PP	we
are	VBP	be
on	IN	on
our	PP$	our
way	NN	way
there	RB	there
and	CC	and
had	VBD	have
clocked	VBN	clock
that	IN	that
the	DT	the
movie	NN	movie
was	VBD	be
starting	VBG	start
in	IN	in
was	VBD	be
six	CD	six
minutes	NNS	minute
we	PP	we
was	VBD	be
twenty	CD	twenty
minutes	NNS	minute
away	RB	away
