oh	UH	oh
my	PP$	my
god	NN	god
it	PP	it
was	VBD	be
really	RB	really
kind	JJ	kind
of	IN	of
cos	NN	cos
it	PP	it
is	VBZ	be
just	RB	just
like	IN	like
literally	RB	literally
it	PP	it
's	VBZ	be
just	RB	just
like	JJ	like
on	IN	on
he	PP	he
's	VBZ	be
just	RB	just
pulling	VBG	pull
shit	VBN	shit
out	RP	out
of	IN	of
the	DT	the
air	NN	air
and	CC	and
just	RB	just
like	IN	like
like	VB	like
when	WRB	when
said	VBD	say
that	IN	that
like	IN	like
ISIS	NP	Isis
hunger	NN	hunger
thing	NN	thing
it	PP	it
was	VBD	be
like	JJ	like
like	IN	like
the	DT	the
way	NN	way
he	PP	he
like	VBP	like
ISIS	NP	Isis
is	VBZ	be
just	RB	just
happening	VBG	happen
and	CC	and
then	RB	then
like	IN	like
hunger	NN	hunger
and	CC	and
he	PP	he
was	VBD	be
just	RB	just
like	IN	like
he	PP	he
's	VBZ	be
thinking	VBG	think
of	IN	of
stuff	NN	stuff
that	WDT	that
's	VBZ	be
happening	VBG	happen
and	CC	and
then	RB	then
because	IN	because
you	PP	you
were	VBD	be
doing	VBG	do
that	IN	that
he	PP	he
's	VBZ	be
like	JJ	like
that	WDT	that
's	VBZ	be
how	WRB	how
this	DT	this
is	VBZ	be
happening	VBG	happen
and	CC	and
this	DT	this
is	VBZ	be
happening	NN	happening
that	WDT	that
's	VBZ	be
amazing	JJ	amazing
that	WDT	that
was	VBD	be
just	RB	just
his	PP$	his
thought	VBN	think
process	NN	process
like	IN	like
it	PP	it
was	VBD	be
very	RB	very
but	CC	but
you	PP	you
know	VBP	know
he	PP	he
's	VBZ	be
just	RB	just
like	JJ	like
and	CC	and
this	DT	this
like	JJ	like
wine	NN	wine
that	WDT	that
tastes	VBZ	taste
good	JJ	good
and	CC	and
I	PP	I
'll	MD	will
stand	VB	stand
on	IN	on
this	DT	this
chair	NN	chair
and	CC	and
it	PP	it
's	VBZ	be
just	RB	just
like	IN	like
this	DT	this
is	VBZ	be
amazing	JJ	amazing
