or	CC	or
your	PP$	your
Ultimate	NP	Ultimate
's	POS	's
erm	NN	erm
no	DT	no
er	NN	er
you	PP	you
've	VBP	have
got	VBN	get
no	DT	no
mana	NN	mana
just	RB	just
actually	RB	actually
you	PP	you
can	MD	can
kill	VB	kill
him	PP	him
you	PP	you
can	MD	can
kill	VB	kill
him	PP	him
you	PP	you
've	VBP	have
got	VBN	get
no	DT	no
you	PP	you
've	VBP	have
got	VBN	get
no	RB	no
yeah	RB	yeah
you	PP	you
've	VBP	have
got	VBN	get
no	DT	no
abilities	NNS	ability
so	RB	so
just	RB	just
just	RB	just
keep	VB	keep
attacking	VBG	attack
them	PP	them
just	RB	just
keep	VBP	keep
attacking	VBG	attack
them	PP	them
and	CC	and
keep	VB	keep
ranging	VBG	range
him	PP	him
yeah	RB	yeah
there	EX	there
's	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
there	RB	there
run	VBP	run
away	RB	away
run	VB	run
away	RB	away
run	VBP	run
away	RB	away
go	VB	go
down	RP	down
here	RB	here
yeah	RB	yeah
good	JJ	good
stuff	NN	stuff
turn	NN	turn
around	IN	around
you	PP	you
can	MD	can
kill	VB	kill
him	PP	him
there	RB	there
's	VBZ	be
two	CD	two
of	IN	of
you	PP	you
there	RB	there
run	VBP	run
away	RB	away
yeah	RB	yeah
there	EX	there
's	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
there	EX	there
I	PP	I
'd	MD	will
back	VB	back
because	IN	because
you	PP	you
've	VBP	have
got	VBN	get
some	DT	some
gold	NN	gold
you	PP	you
've	VBP	have
got	VBN	get
quite	PDT	quite
a	DT	a
lot	NN	lot
of	IN	of
gold	NN	gold
you	PP	you
see	VBP	see
on	IN	on
the	DT	the
bottom	NN	bottom
left	VBD	leave
?	SENT	?
y	NP	y
how	WRB	how
much	JJ	much
gold	NN	gold
you	PP	you
've	VBP	have
got	VBN	get
bottom	NN	bottom
left	VBD	leave
?	SENT	?
