if	IN	if
you	PP	you
feel	VBP	feel
like	IN	like
no	RB	no
I	PP	I
'm	VBP	be
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
everything	NN	everything
okay	RB	okay
just	RB	just
wait	VB	wait
and	CC	and
so	RB	so
I	PP	I
so	RB	so
I	PP	I
did	VBD	do
that	IN	that
so	RB	so
then	RB	then
I	PP	I
got	VBD	get
the	DT	the
washing	NN	washing
out	RP	out
as	IN	as
you	PP	you
can	MD	can
see	VB	see
can	MD	can
you	PP	you
see	VB	see
the	DT	the
pile	NN	pile
there	RB	there
?	SENT	?
I	PP	I
dried	VBD	dry
that	IN	that
washing	VBG	wash
I	PP	I
done	VBN	do
yesterday	NN	yesterday
I	PP	I
put	VBD	put
the	DT	the
other	JJ	other
stuff	NN	stuff
in	IN	in
the	DT	the
washing	NN	washing
machine	NN	machine
put	VBD	put
the	DT	the
deter	VB	deter
and	CC	and
put	VB	put
that	IN	that
in	IN	in
put	VB	put
the	DT	the
other	JJ	other
stuff	NN	stuff
in	IN	in
the	DT	the
dryer	NN	dryer
put	NN	put
that	WDT	that
in	RB	in
had	VBD	have
to	TO	to
get	VB	get
out	RP	out
the	DT	the
erm	NN	erm
small	RB	small
organise	VB	organise
all	PDT	all
the	DT	the
swimming	NN	swimming
costumes	NNS	costume
and	CC	and
everything	NN	everything
for	IN	for
all	DT	all
of	IN	of
us	PP	us
so	IN	so
I	PP	I
went	VBD	go
round	NN	round
doing	VBG	do
that	IN	that
asked	VBN	ask
you	PP	you
where	WRB	where
yours	PP	yours
was	VBD	be
and	CC	and
then	RB	then
erm	JJ	<unknown>
er	NN	er
erm	NN	erm
got	VBD	get
them	PP	them
all	RB	all
into	IN	into
bags	NNS	bag
and	CC	and
that	DT	that
kind	NN	kind
of	IN	of
thing	NN	thing
and	CC	and
then	RB	then
I	PP	I
got	VBD	get
back	RB	back
I	PP	I
got	VB	got
him	PP	him
his	PP$	his
breakfast	NN	breakfast
before	IN	before
then	RB	then
too	RB	too
and	CC	and
juice	NN	juice
erm	NN	erm
and	CC	and
then	RB	then
I	PP	I
then	RB	then
I	PP	I
sorted	VBD	sort
out	RP	out
some	DT	some
things	NNS	thing
in	IN	in
the	DT	the
fridge	NN	fridge
that	IN	that
erm	NN	erm
were	VBD	be
off	RB	off
so	RB	so
I	PP	I
had	VBD	have
to	TO	to
put	VB	put
them	PP	them
into	IN	into
the	DT	the
food	NN	food
bin	NN	bin
scraped	VBD	scrape
them	PP	them
out	RP	out
and	CC	and
I	PP	I
had	VBD	have
to	TO	to
put	VB	put
them	PP	them
into	IN	into
the	DT	the
dishwasher	NN	dishwasher
and	CC	and
then	RB	then
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
er	NN	er
bags	NNS	bag
of	IN	of
rubbish	NN	rubbish
I	PP	I
had	VBD	have
to	TO	to
put	VB	put
like	IN	like
some	DT	some
smaller	JJR	small
bags	NNS	bag
into	IN	into
the	DT	the
rubbish	JJ	rubbish
bin	NN	bin
and	CC	and
then	RB	then
that	WDT	that
was	VBD	be
before	IN	before
we	PP	we
went	VBD	go
swimming	VBG	swim
and	CC	and
then	RB	then
after	IN	after
I	PP	I
after	IN	after
we	PP	we
went	VBD	go
swimming	NN	swimming
even	RB	even
was	VBD	be
being	VBG	be
nice	JJ	nice
took	VBD	take
out	RP	out
and	CC	and
get	VB	get
him	PP	him
in	IN	in
the	DT	the
pool	NN	pool
that	IN	that
kind	NN	kind
of	IN	of
thing	NN	thing
never	RB	never
a	DT	a
time	NN	time
like	IN	like
even	RB	even
like	IN	like
trying	VBG	try
to	TO	to
dress	VB	dress
myself	PP	myself
was	VBD	be
ridiculously	RB	ridiculously
you	PP	you
know	VBP	know
I	PP	I
having	VBG	have
to	TO	to
sort	VB	sort
him	PP	him
out	IN	out
d	NN	d
so	RB	so
then	RB	then
I	PP	I
got	VBD	get
the	DT	the
bus	NN	bus
he	PP	he
's	VBZ	be
crying	VBG	cry
crying	VBG	cry
give	VB	give
him	PP	him
biscuit	NN	biscuit
let	VB	let
's	VBZ	be
go	VB	go
to	TO	to
town	NN	town
let	VB	let
's	VBZ	be
do	VB	do
the	DT	the
shopping	NN	shopping
and	CC	and
then	RB	then
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
some	DT	some
other	JJ	other
stuff	NN	stuff
and	CC	and
then	RB	then
I	PP	I
had	VBD	have
to	TO	to
go	VB	go
round	NN	round
and	CC	and
get	VB	get
the	DT	the
bus	NN	bus
it	PP	it
was	VBD	be
ages	NNS	age
to	TO	to
the	DT	the
bus	NN	bus
again	RB	again
so	IN	so
I	PP	I
I	PP	I
knew	VBD	know
so	RB	so
I	PP	I
had	VBD	have
to	TO	to
walk	VB	walk
we	PP	we
were	VBD	be
on	IN	on
the	DT	the
bus	NN	bus
it	PP	it
was	VBD	be
full	JJ	full
I	PP	I
had	VBD	have
to	TO	to
stand	VB	stand
up	RP	up
for	IN	for
ages	NNS	age
then	RB	then
I	PP	I
got	VBD	get
the	DT	the
bus	NN	bus
walked	VBD	walk
here	RB	here
got	VBN	get
out	IN	out
erm	NN	erm
and	CC	and
then	RB	then
the	DT	the
shop	NN	shop
was	VBD	be
away	RB	away
and	CC	and
I	PP	I
cooked	VBD	cook
all	PDT	all
the	DT	the
dinner	NN	dinner
and	CC	and
I	PP	I
sat	VBD	sit
down	RP	down
that	DT	that
's	VBZ	be
how	WRB	how
much	RB	much
normally	RB	normally
chores	NNS	chore
are	VBP	be
