literary	JJ	literary
predictive	JJ	predictive
kind	NN	kind
of	IN	of
model	NN	model
like	IN	like
in	IN	in
science	NN	science
fiction	NN	fiction
can	MD	can
go	VB	go
a	DT	a
couple	NN	couple
of	IN	of
ways	NNS	way
but	CC	but
that	WDT	that
's	VBZ	be
there	EX	there
are	VBP	be
major	JJ	major
recurring	VBG	recur
themes	NNS	theme
in	IN	in
science	NN	science
fiction	NN	fiction
and	CC	and
it	PP	it
's	VBZ	be
often	RB	often
proven	VBN	prove
to	TO	to
be	VB	be
very	RB	very
predictive	JJ	predictive
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
the	DT	the
ways	NNS	way
societies	NNS	society
evolve	VBP	evolve
and	CC	and
and	CC	and
it	PP	it
drives	VBZ	drive
things	NNS	thing
in	IN	in
science	NN	science
that	IN	that
but	RB	but
like	IN	like
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
there	EX	there
's	VBZ	be
a	DT	a
couple	NN	couple
of	IN	of
things	NNS	thing
like	IN	like
where	WRB	where
first	JJ	first
of	IN	of
all	DT	all
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
move	VB	move
from	IN	from
like	IN	like
a	DT	a
scarcity	NN	scarcity
model	NN	model
to	TO	to
a	DT	a
post-scarcity	NN	post-scarcity
model	NN	model
like	IN	like
at	IN	at
the	DT	the
moment	NN	moment
everyone	NN	everyone
's	VBZ	be
fighting	VBG	fight
over	RP	over
resources	NNS	resource
and	CC	and
things	NNS	thing
because	IN	because
resources	NNS	resource
are	VBP	be
kind	JJ	kind
of	IN	of
getting	VBG	get
scarce	JJ	scarce
you	PP	you
need	VBP	need
to	TO	to
get	VB	get
to	TO	to
a	DT	a
stage	NN	stage
where	WRB	where
you	PP	you
've	VBP	have
got	VBN	get
basically	RB	basically
abundant	JJ	abundant
cheap	JJ	cheap
energy	NN	energy
cos	NN	cos
once	IN	once
you	PP	you
've	VBP	have
abundant	JJ	abundant
cheap	JJ	cheap
energy	NN	energy
then	RB	then
you	PP	you
can	MD	can
grow	VB	grow
loads	NNS	load
like	IN	like
then	RB	then
you	PP	you
start	VBP	start
moving	VBG	move
out	RP	out
of	IN	of
a	DT	a
scarcity	NN	scarcity
model	NN	model
into	IN	into
a	DT	a
post-scarcity	NN	post-scarcity
model	NN	model
where	WRB	where
everyone	NN	everyone
's	POS	's
attitude	NN	attitude
begins	VBZ	begin
to	TO	to
change	VB	change
because	IN	because
the	DT	the
same	JJ	same
dynamics	NNS	dynamics
are	VBP	be
n't	RB	n't
at	IN	at
play	NN	play
in	IN	in
the	DT	the
sense	NN	sense
obviously	RB	obviously
people	NNS	people
are	VBP	be
still	RB	still
human	NN	human
there	EX	there
are	VBP	be
still	RB	still
the	DT	the
same	JJ	same
kind	NN	kind
of	IN	of
human	JJ	human
characteristics	NNS	characteristic
but	CC	but
in	IN	in
terms	NNS	term
of	IN	of
geopolitically	RB	geopolitically
like	IN	like
