cos	NN	cos
she	PP	she
was	VBD	be
basically	RB	basically
we	PP	we
were	VBD	be
at	IN	at
this	DT	this
show	NN	show
and	CC	and
she	PP	she
just	RB	just
you	PP	you
know	VBP	know
Americans	NPS	Americans
just	RB	just
like	VBP	like
take	VB	take
like	IN	like
rules	NNS	rule
so	RB	so
seriously	RB	seriously
and	CC	and
it	PP	it
was	VBD	be
just	RB	just
like	IN	like
everyone	NN	everyone
was	VBD	be
like	IN	like
no	RB	no
you	PP	you
ca	MD	ca
n't	RB	n't
and	CC	and
like	VB	like
we	PP	we
blatantly	RB	blatantly
can	MD	can
do	VB	do
that	IN	that
I	PP	I
ca	MD	ca
n't	RB	n't
there	EX	there
was	VBD	be
something	NN	something
about	IN	about
the	DT	the
hot	JJ	hot
dog	NN	dog
she	PP	she
was	VBD	be
like	IN	like
we	PP	we
ca	MD	ca
n't	RB	n't
serve	VB	serve
it	PP	it
with	IN	with
just	RB	just
ketchup	NN	ketchup
it	PP	it
comes	VBZ	come
with	IN	with
ketchup	NN	ketchup
and	CC	and
mustard	NN	mustard
and	CC	and
she	PP	she
's	VBZ	be
like	IN	like
well	RB	well
you	PP	you
can	MD	can
and	CC	and
she	PP	she
's	VBZ	be
like	IN	like
no	RB	no
the	DT	the
management	NN	management
says	VBZ	say
that	IN	that
we	PP	we
can	MD	can
only	RB	only
serve	VB	serve
it	PP	it
and	CC	and
it	PP	it
was	VBD	be
something	NN	something
like	IN	like
that	WDT	that
and	CC	and
she	PP	she
was	VBD	be
like	IN	like
why	WRB	why
the	DT	the
fuck	NN	fuck
ca	MD	ca
n't	RB	n't
I	PP	I
have	VBP	have
?	SENT	?
and	CC	and
then	RB	then
there	EX	there
was	VBD	be
this	DT	this
like	JJ	like
Asian	JJ	Asian
kid	NN	kid
