last	JJ	last
year	NN	year
and	CC	and
she	PP	she
was	VBD	be
out	RB	out
there	RB	there
erm	JJ	<unknown>
and	CC	and
they	PP	they
had	VBD	have
they	PP	they
had	VBD	have
a	DT	a
night	NN	night
there	RB	there
they	PP	they
went	VBD	go
they	PP	they
had	VBD	have
a	DT	a
day	NN	day
's	POS	's
workshop	NN	workshop
and	CC	and
training	NN	training
then	RB	then
they	PP	they
had	VBD	have
the	DT	the
night	NN	night
where	WRB	where
they	PP	they
laid	VBD	lay
on	IN	on
a	DT	a
big	JJ	big
party	NN	party
they	PP	they
had	VBD	have
all	PDT	all
the	DT	the
Chinese	JJ	Chinese
management	NN	management
all	PDT	all
the	DT	the
Chinese	JJ	Chinese
production	NN	production
team	NN	team
over	RB	over
had	VBD	have
everybody	NN	everybody
on	IN	on
stilts	NNS	stilt
and	CC	and
big	JJ	big
costumes	NNS	costume
and	CC	and
but	RB	but
it	PP	it
rained	VBD	rain
but	CC	but
it	PP	it
was	VBD	be
all	RB	all
outdoors	RB	outdoors
which	WDT	which
was	VBD	be
a	DT	a
shame	NN	shame
and	CC	and
then	RB	then
the	DT	the
following	VBG	follow
day	NN	day
they	PP	they
went	VBD	go
to	TO	to
Birmingham	NP	Birmingham
and	CC	and
they	PP	they
had	VBD	have
erm	NN	erm
that	IN	that
sorry	RB	sorry
I	PP	I
'm	VBP	be
getting	VBG	get
so	IN	so
they	PP	they
had	VBD	have
a	DT	a
day	NN	day
workshop	NN	workshop
and	CC	and
in	IN	in
the	DT	the
evening	NN	evening
they	PP	they
went	VBD	go
to	TO	to
Birmingham	NP	Birmingham
they	PP	they
were	VBD	be
put	VBN	put
up	RP	up
at	IN	at
hotel	NN	hotel
had	VBD	have
a	DT	a
meal	NN	meal
then	RB	then
the	DT	the
following	VBG	follow
morning	NN	morning
Jamie	NP	Jamie
Oliver	NP	Oliver
's	POS	's
for	IN	for
a	DT	a
breakfast	NN	breakfast
meeting	NN	meeting
and	CC	and
then	RB	then
a	DT	a
workshop	NN	workshop
and	CC	and
then	RB	then
so	RB	so
they	PP	they
were	VBD	be
kind	NN	kind
of	IN	of
combining	VBG	combine
it	PP	it
with	IN	with
a	DT	a
few	JJ	few
places	NNS	place
which	WDT	which
was	VBD	be
local	JJ	local
for	IN	for
her	PP	her
she	PP	she
said	VBD	say
that	WDT	that
was	VBD	be
good	JJ	good
because	IN	because
it	PP	it
was	VBD	be
all	RB	all
handy	JJ	handy
for	IN	for
her	PP$	her
