well	RB	well
she	PP	she
comes	VBZ	come
to	TO	to
the	DT	the
table	NN	table
and	CC	and
hitting	VBG	hit
the	DT	the
cos	NN	cos
I	PP	I
'm	VBP	be
sitting	VBG	sit
like	IN	like
this	DT	this
at	IN	at
the	DT	the
table	NN	table
like	IN	like
this	DT	this
behind	IN	behind
me	PP	me
so	IN	so
you	PP	you
got	VBD	get
got	VBD	get
this	DT	this
Irish	JJ	Irish
couple	NN	couple
up	RB	up
and	CC	and
they	PP	they
were	VBD	be
dancing	VBG	dance
she	PP	she
pulls	VBZ	pull
me	PP	me
up	RP	up
oh	UH	oh
yeah	RB	yeah
very	RB	very
nice	JJ	nice
of	IN	of
you	PP	you
yeah	RB	yeah
yeah	RB	yeah
it	PP	it
's	VBZ	be
nice	JJ	nice
yeah	RB	yeah
yeah	RB	yeah
so	IN	so
I	PP	I
'm	VBP	be
dancing	VBG	dance
and	CC	and
her	PP$	her
partner	NN	partner
then	RB	then
said	VBD	say
to	TO	to
you	PP	you
come	VBP	come
and	CC	and
get	VBP	get
up	RB	up
I	PP	I
'm	VBP	be
not	RB	not
dancing	VBG	dance
I	PP	I
'm	VBP	be
not	RB	not
dancing	VBG	dance
and	CC	and
I	PP	I
'm	VBP	be
thinking	VBG	think
to	TO	to
myself	PP	myself
but	CC	but
you	PP	you
like	VBP	like
dancing	VBG	dance
you	PP	you
go	VBP	go
to	TO	to
dance	VB	dance
classes	NNS	class
you	PP	you
go	VBP	go
to	TO	to
dance	VB	dance
classes	NNS	class
why	WRB	why
are	VBP	be
n't	RB	n't
you	PP	you
gonna	VBG	gonna
dance	NN	dance
?	SENT	?
opportunity	NN	opportunity
other	JJ	other
people	NNS	people
are	VBP	be
dancing	VBG	dance
why	WRB	why
are	VBP	be
n't	RB	n't
you	PP	you
gonna	VBG	gonna
dance	NN	dance
?	SENT	?
