what	WP	what
probably	RB	probably
more	JJR	more
than	IN	than
they	PP	they
thought	VBD	think
that	IN	that
they	PP	they
needed	VBD	need
to	TO	to
but	RB	but
just	RB	just
as	IN	as
a	DT	a
precaution	NN	precaution
they	PP	they
wanted	VBD	want
to	TO	to
give	VB	give
him	PP	him
some	DT	some
treatments	NNS	treatment
anyway	RB	anyway
when	WRB	when
he	PP	he
was	VBD	be
having	VBG	have
the	DT	the
treatment	NN	treatment
he	PP	he
had	VBD	have
to	TO	to
have	VB	have
it	PP	it
for	IN	for
consecutive	JJ	consecutive
days	NNS	day
over	IN	over
a	DT	a
week	NN	week
's	POS	's
period	NN	period
and	CC	and
so	RB	so
the	DT	the
the	DT	the
surgeon	NN	surgeon
drew	VBD	draw
on	IN	on
with	IN	with
em	NN	em
permanent	JJ	permanent
ink	NN	ink
like	IN	like
this	DT	this
big	JJ	big
box	NN	box
on	IN	on
his	PP$	his
face	NN	face
he	PP	he
was	VBD	be
like	IN	like
it	PP	it
's	VBZ	be
permanent	JJ	permanent
do	VB	do
you	PP	you
mind	VB	mind
keeping	VBG	keep
it	PP	it
on	IN	on
for	IN	for
the	DT	the
seven	CD	seven
days	NNS	day
so	IN	so
we	PP	we
do	VBP	do
n't	RB	n't
have	VB	have
to	TO	to
keep	VB	keep
drawing	VBG	draw
it	PP	it
every	DT	every
day	NN	day
and	CC	and
dad	NN	dad
was	VBD	be
like	IN	like
no	RB	no
no	DT	no
problem	NN	problem
and	CC	and
my	PP$	my
mum	NN	mum
was	VBD	be
like	IN	like
you	PP	you
will	MD	will
not	RB	not
go	VB	go
out	RP	out
of	IN	of
the	DT	the
house	NN	house
with	IN	with
a	DT	a
big	JJ	big
black	JJ	black
box	NN	box
drawn	VBN	draw
on	IN	on
your	PP$	your
cheek	NN	cheek
bone	NN	bone
So	IN	so
my	PP$	my
dad	NN	dad
does	VBZ	do
n't	RB	n't
care	VB	care
he	PP	he
's	VBZ	be
like	IN	like
yeah	RB	yeah
whatever	WDT	whatever
