Ely	NP	Ely
yeah	RB	yeah
but	CC	but
not	RB	not
that	IN	that
far	RB	far
up	IN	up
em	NN	em
and	CC	and
there	EX	there
was	VBD	be
a	DT	a
load	NN	load
of	IN	of
hooha	NN	<unknown>
saying	VBG	say
well	RB	well
you	PP	you
know	VBP	know
you	PP	you
've	VBP	have
got	VBN	get
all	PDT	all
these	DT	these
plans	NNS	plan
for	IN	for
building	VBG	build
it	PP	it
it	PP	it
was	VBD	be
like	IN	like
ten	CD	ten
or	CC	or
twenty	CD	twenty
thousand	CD	thousand
new	JJ	new
houses	NNS	house
they	PP	they
were	VBD	be
going	VBG	go
to	TO	to
build	VB	build
and	CC	and
it	PP	it
was	VBD	be
like	IN	like
there	EX	there
was	VBD	be
all	PDT	all
these	DT	these
plans	NNS	plan
for	IN	for
building	NN	building
and	CC	and
this	DT	this
but	CC	but
you	PP	you
've	VBP	have
not	RB	not
got	VBN	get
any	DT	any
plans	NNS	plan
to	TO	to
improve	VB	improve
the	DT	the
A	NP	A
ten	CD	ten
so	RB	so
where	WRB	where
are	VBP	be
all	PDT	all
these	DT	these
people	NNS	people
going	VBG	go
to	TO	to
go	VB	go
?	SENT	?
They	PP	they
're	VBP	be
going	VBG	go
to	TO	to
commute	VB	commute
down	RP	down
to	TO	to
Cambridge	NP	Cambridge
or	CC	or
they	PP	they
're	VBP	be
going	VBG	go
to	TO	to
come	VB	come
to	TO	to
Cambridge	NP	Cambridge
to	TO	to
get	VB	get
on	IN	on
the	DT	the
train	NN	train
to	TO	to
go	VB	go
into	IN	into
London	NP	London
you	PP	you
know	VBP	know
where	WRB	where
are	VBP	be
they	PP	they
all	RB	all
going	VBG	go
to	TO	to
come	VB	come
?	SENT	?
They	PP	they
're	VBP	be
going	VBG	go
to	TO	to
come	VB	come
down	RP	down
on	IN	on
the	DT	the
twenty	CD	twenty
ten	NN	ten
twenty	CD	twenty
miles	NNS	mile
of	IN	of
the	DT	the
A10	NP	A@card@
which	WDT	which
already	RB	already
is	VBZ	be
pretty	RB	pretty
chock-a-block	RB	chock-a-block
every	DT	every
day	NN	day
em	NN	em
but	CC	but
yeah	RB	yeah
I	PP	I
mean	VBP	mean
they	PP	they
were	VBD	be
talking	VBG	talk
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
whether	IN	whether
it	PP	it
's	VBZ	be
going	VBG	go
to	TO	to
happen	VB	happen
of	IN	of
building	VBG	build
a	DT	a
new	JJ	new
train	NN	train
station	NN	station
to	TO	to
the	DT	the
south	NN	south
of	IN	of
Cambridge	NP	Cambridge
to	TO	to
act	VB	act
as	IN	as
a	DT	a
commuter	NN	commuter
station	NN	station
so	RB	so
instead	RB	instead
of	IN	of
everyone	NN	everyone
having	VBG	have
to	TO	to
come	VB	come
into	IN	into
Cambridge	NP	Cambridge
to	TO	to
get	VB	get
a	DT	a
bu	NN	bu
eh	NN	eh
to	TO	to
get	VB	get
a	DT	a
train	NN	train
rather	RB	rather
it	PP	it
would	MD	would
go	VB	go
there	RB	there
and	CC	and
and	CC	and
get	VB	get
a	DT	a
commuter	NN	commuter
line	NN	line
down	RB	down
but	CC	but
I	PP	I
've	VBP	have
not	RB	not
heard	VBN	hear
any	DT	any
more	RBR	more
about	RB	about
that	IN	that
but	CC	but
eh	NP	eh
