yes	UH	yes
so	RB	so
what	WP	what
they	PP	they
do	VBP	do
is	VBZ	be
they	PP	they
work	VBP	work
out	RP	out
whether	IN	whether
your	PP$	your
brain	NN	brain
can	MD	can
latch	VB	latch
on	IN	on
to	TO	to
how	WRB	how
a	DT	a
language	NN	language
I	PP	I
structured	VBD	structure
basically	RB	basically
so	RB	so
Latin	JJ	Latin
language	NN	language
is	VBZ	be
structured	VBN	structure
differently	RB	differently
to	TO	to
Germanics	NP	<unknown>
languages	NNS	language
but	CC	but
I	PP	I
mean	VBP	mean
I	PP	I
know	VBP	know
and	CC	and
I	PP	I
've	VBP	have
never	RB	never
learnt	VBN	learn
it	PP	it
but	CC	but
just	RB	just
because	IN	because
I	PP	I
can	MD	can
see	VB	see
how	WRB	how
it	PP	it
's	VBZ	be
made	VBN	make
up	RB	up
and	CC	and
so	RB	so
they	PP	they
test	VBP	test
you	PP	you
on	IN	on
it	PP	it
you	PP	you
've	VBP	have
got	VBN	get
no	DT	no
chance	NN	chance
of	IN	of
revising	VBG	revise
because	IN	because
it	PP	it
's	VBZ	be
fake	JJ	fake
but	CC	but
it	PP	it
tests	VBZ	test
how	WRB	how
your	PP$	your
brain	NN	brain
could	MD	could
latch	VB	latch
on	IN	on
to	TO	to
it	PP	it
and	CC	and
she	PP	she
said	VBD	say
I	PP	I
've	VBP	have
had	VBD	have
people	NNS	people
come	VBP	come
in	IN	in
that	WDT	that
have	VBP	have
masters	NNS	master
and	CC	and
they	PP	they
ca	MD	ca
n't	RB	n't
get	VB	get
it	PP	it
they	PP	they
ca	MD	ca
n't	RB	n't
get	VB	get
it	PP	it
they	PP	they
fail	VBP	fail
it	PP	it
it	PP	it
's	VBZ	be
not	RB	not
a	DT	a
mark	NN	mark
it	PP	it
's	VBZ	be
a	DT	a
pass	NN	pass
or	CC	or
fail	NN	fail
but	CC	but
the	DT	the
guy	NN	guy
that	IN	that
they	PP	they
've	VBP	have
got	VBN	get
that	IN	that
just	RB	just
passed	VBN	pass
it	PP	it
at	IN	at
the	DT	the
moment	NN	moment
is	VBZ	be
some	DT	some
guy	NN	guy
some	DT	some
scouser	NN	<unknown>
left	VBD	leave
school	NN	school
after	IN	after
GSCE	NP	<unknown>
he	PP	he
speaks	VBZ	speak
eleven	NN	eleven
languages	NNS	language
seven	CD	seven
fluently	RB	fluently
