well	RB	well
I	PP	I
think	VBP	think
most	JJS	most
of	IN	of
what	WP	what
you	PP	you
've	VBP	have
said	VBN	say
is	VBZ	be
absolutely	RB	absolutely
true	JJ	true
it	PP	it
's	VBZ	be
erm	NN	erm
we	PP	we
seem	VBP	seem
to	TO	to
ha	NP	ha
be	VB	be
our	PP$	our
er	NNS	<unknown>
as	RB	as
as	IN	as
you	PP	you
said	VBD	say
it	PP	it
's	VBZ	be
erm	JJ	<unknown>
all	RB	all
of	IN	of
our	PP$	our
natural	JJ	natural
born	VBN	bear
freedoms	NNS	freedom
are	VBP	be
gradually	RB	gradually
being	VBG	be
eroded	VBN	erode
are	VBP	be
being	VBG	be
controlled	VBN	control
more	JJR	more
and	CC	and
more	RBR	more
I	PP	I
mean	VBP	mean
look	NN	look
at	IN	at
the	DT	the
society	NN	society
we	PP	we
in	IN	in
we	PP	we
're	VBP	be
in	IN	in
we	PP	we
're	VBP	be
lucky	JJ	lucky
in	IN	in
many	JJ	many
respects	NNS	respect
to	TO	to
be	VB	be
in	IN	in
the	DT	the
society	NN	society
we	PP	we
're	VBP	be
living	VBG	live
in	IN	in
look	NN	look
at	IN	at
the	DT	the
amount	NN	amount
of	IN	of
people	NNS	people
trying	VBG	try
to	TO	to
get	VB	get
here	RB	here
er	JJ	<unknown>
illegally	RB	illegally
so	RB	so
they	PP	they
can	MD	can
benefit	VB	benefit
from	IN	from
it	PP	it
but	CC	but
er	NNS	<unknown>
it	PP	it
's	VBZ	be
thinking	VBG	think
er	NNS	<unknown>
when	WRB	when
you	PP	you
think	VBP	think
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
places	NNS	place
to	TO	to
live	VB	live
and	CC	and
all	PDT	all
the	DT	the
things	NNS	thing
that	WDT	that
are	VBP	be
wrong	JJ	wrong
with	IN	with
it	PP	it
the	DT	the
things	NNS	thing
we	PP	we
ca	MD	ca
n't	RB	n't
do	VB	do
more	JJR	more
and	CC	and
more	JJR	more
control	NN	control
over	IN	over
us	PP	us
more	JJR	more
and	CC	and
more	RBR	more
spying	VBG	spy
on	IN	on
us	PP	us
that	WDT	that
have	VBP	have
er	RB	<unknown>
come	VBN	come
to	TO	to
light	VB	light
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
the	DT	the
whistle	NN	whistle
blowers	NNS	blower
you	PP	you
see	VBP	see
I	PP	I
America	NP	America
the	DT	the
er	NN	er
the	DT	the
time	NN	time
limit	NN	limit
on	IN	on
the	DT	the
erm	NN	erm
on	IN	on
the	DT	the
er	NN	er
er	NN	er
American	JJ	American
government	NN	government
's	POS	's
er	JJ	<unknown>
legal	JJ	legal
right	NN	right
to	TO	to
snoop	VB	snoop
on	IN	on
people	NNS	people
's	POS	's
private	JJ	private
emails	NNS	email
has	VBZ	have
now	RB	now
expired	VBN	expire
so	RB	so
and	CC	and
like	VB	like
they	PP	they
now	RB	now
ca	MD	ca
n't	RB	n't
do	VB	do
do	VBP	do
that	IN	that
unless	IN	unless
they	PP	they
they	PP	they
get	VBP	get
apply	VB	apply
for	IN	for
a	DT	a
specific	JJ	specific
permission	NN	permission
but	CC	but
I	PP	I
saw	VBD	see
an	DT	an
on	IN	on
a	DT	a
programme	NN	programme
not	RB	not
long	RB	long
ago	RB	ago
in	IN	in
the	DT	the
UK	NP	UK
when	WRB	when
er	JJ	<unknown>
the	DT	the
police	NN	police
or	CC	or
government	NN	government
erm	NN	erm
apply	VB	apply
for	IN	for
the	DT	the
the	DT	the
the	DT	the
legal	JJ	legal
right	NN	right
to	TO	to
do	VB	do
this	DT	this
to	TO	to
its	PP$	its
citizens	NNS	citizen
it	PP	it
's	VBZ	be
it	PP	it
's	VBZ	be
mm	NN	mm.
almost	RB	almost
automatically	RB	automatically
granted	VBN	grant
in	IN	in
ninety-six	NN	<unknown>
percent	NN	percent
of	IN	of
the	DT	the
cases	NNS	case
and	CC	and
they	PP	they
've	VBP	have
never	RB	never
been	VBN	be
more	RBR	more
er	JJ	<unknown>
surveillance	NN	surveillance
you	PP	you
know	VBP	know
the	DT	the
CCTVs	NP	<unknown>
and	CC	and
