when	WRB	when
he	PP	he
was	VBD	be
hanging	VBG	hang
out	RP	out
with	IN	with
and	CC	and
like	IN	like
she	PP	she
was	VBD	be
telling	VBG	tell
me	PP	me
that	IN	that
she	PP	she
really	RB	really
liked	VBD	like
him	PP	him
and	CC	and
they	PP	they
'd	VBD	have
been	VBN	be
sleeping	VBG	sleep
together	RB	together
and	CC	and
he	PP	he
'd	VBD	have
been	VBN	be
staying	VBG	stay
with	IN	with
her	PP	her
and	CC	and
then	RB	then
he	PP	he
like	VBP	like
goes	VBZ	go
to	TO	to
the	DT	the
shop	NN	shop
he	PP	he
's	VBZ	be
like	VB	like
oh	UH	oh
yeah	RB	yeah
I	PP	I
do	VBP	do
n't	RB	n't
really	RB	really
fancy	VB	fancy
her	PP	her
I	PP	I
fancy	VBP	fancy
this	DT	this
other	JJ	other
girl	NN	girl
you	PP	you
know	VBP	know
the	DT	the
other	JJ	other
girl	NN	girl
's	VBZ	be
there	RB	there
he	PP	he
's	VBZ	be
like	IN	like
flirting	VBG	flirt
with	IN	with
her	PP	her
in	IN	in
front	NN	front
of	IN	of
'	''	'
s	NNS	<unknown>
so	RB	so
embarrassed	VBN	embarrass
and	CC	and
she	PP	she
'd	MD	will
obviously	RB	obviously
told	VBD	tell
him	PP	him
li	VBZ	<unknown>
in	IN	in
like	IN	like
a	DT	a
moment	NN	moment
of	IN	of
like	JJ	like
intimacy	NN	intimacy
that	IN	that
she	PP	she
if	IN	if
he	PP	he
stayed	VBD	stay
the	DT	the
weekend	NN	weekend
with	IN	with
her	PP	her
she	PP	she
'd	MD	will
pay	VB	pay
for	IN	for
his	PP$	his
ticket	NN	ticket
you	PP	you
know	VBP	know
just	RB	just
being	VBG	be
romantic	JJ	romantic
or	CC	or
whatever	WDT	whatever
like	VBP	like
and	CC	and
then	RB	then
in	IN	in
front	NN	front
of	IN	of
everyone	NN	everyone
even	RB	even
ignoring	VBG	ignore
her	PP	her
or	CC	or
me	PP	me
and	CC	and
he	PP	he
's	VBZ	be
like	VB	like
oh	UH	oh
you	PP	you
know	VBP	know
like	IN	like
how	WRB	how
you	PP	you
said	VBD	say
you	PP	you
'd	MD	will
pay	VB	pay
for	IN	for
my	PP$	my
train	NN	train
ticket	NN	ticket
?	SENT	?
can	MD	can
you	PP	you
take	VB	take
the	DT	the
meal	NN	meal
off	IN	off
that	DT	that
and	CC	and
like	JJ	like
pay	NN	pay
for	IN	for
it	PP	it
?	SENT	?
it	PP	it
's	VBZ	be
just	RB	just
like	IN	like
she	PP	she
's	VBZ	be
like	IN	like
yeah	RB	yeah
but	CC	but
like	IN	like
that	WDT	that
's	VBZ	be
so	RB	so
embarrassing	VBG	embarrass
you	PP	you
know	VBP	know
and	CC	and
like	VBP	like
