cos	NN	cos
I	PP	I
I	PP	I
found	VBD	find
it	PP	it
difficult	JJ	difficult
I	PP	I
was	VBD	be
in	IN	in
erm	NN	erm
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
you	PP	you
know	VBP	know
every	DT	every
you	PP	you
shake	VBP	shake
hands	VBZ	hand
all	PDT	all
the	DT	the
time	NN	time
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
you	PP	you
know	VBP	know
you	PP	you
go	VB	go
into	IN	into
a	DT	a
shop	NN	shop
and	CC	and
you	PP	you
shake	VBP	shake
hands	NNS	hand
with	IN	with
the	DT	the
boss	NN	boss
or	CC	or
the	DT	the
people	NNS	people
it	PP	it
's	VBZ	be
just	RB	just
you	PP	you
know	VBP	know
just	RB	just
done	VBN	do
all	PDT	all
the	DT	the
time	NN	time
and	CC	and
I	PP	I
was	VBD	be
in	IN	in
a	DT	a
kind	NN	kind
of	IN	of
erm	NN	erm
boarding	VBG	board
school	NN	school
environment	NN	environment
in	IN	in
Oman	NP	Oman
and	CC	and
you	PP	you
go	VBP	go
in	IN	in
in	IN	in
the	DT	the
morning	NN	morning
you	PP	you
know	VBP	know
wake	NN	wake
the	DT	the
kids	NNS	kid
up	RP	up
and	CC	and
you	PP	you
'd	MD	will
shake	VB	shake
hands	NNS	hand
with	IN	with
them	PP	them
you	PP	you
know	VBP	know
you	PP	you
'd	MD	will
shake	VB	shake
hands	NNS	hand
with	IN	with
every	DT	every
child	NN	child
in	IN	in
in	IN	in
the	DT	the
dorm	NN	dorm
