Lois	NP	Lois
did	VBD	do
I	PP	I
ca	MD	ca
n't	RB	n't
remember	VB	remember
if	IN	if
you	PP	you
were	VBD	be
there	RB	there
you	PP	you
possibly	RB	possibly
were	VBD	be
n't	RB	n't
aw	JJ	<unknown>
in	IN	in
that	DT	that
case	NN	case
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
come	VB	come
for	IN	for
pancakes	NNS	pancake
it	PP	it
actually	RB	actually
worked	VBD	work
really	RB	really
well	RB	well
cos	NN	cos
the	DT	the
em	NN	em
the	DT	the
first	JJ	first
it	PP	it
's	VBZ	be
like	IN	like
the	DT	the
traditional	JJ	traditional
thing	NN	thing
the	DT	the
first	JJ	first
one	CD	one
's	VBZ	be
always	RB	always
rubbish	JJ	rubbish
em	NN	em
but	CC	but
we	PP	we
did	VBD	do
melt	VB	melt
the	DT	the
we	PP	we
had	VBD	have
a	DT	a
spatula	NN	spatula
we	PP	we
used	VBD	use
it	PP	it
to	TO	to
turn	VB	turn
them	PP	them
we	PP	we
melted	VBD	melt
it	PP	it
cos	NN	cos
the	DT	the
pan	NN	pan
was	VBD	be
so	RB	so
hot	JJ	hot
the	DT	the
spa	NN	spa
I	PP	I
sort	VBP	sort
of	IN	of
left	RB	left
the	DT	the
spatula	NN	spatula
on	IN	on
the	DT	the
pan	NN	pan
too	RB	too
long	RB	long
and	CC	and
it	PP	it
melted	VBD	melt
which	WDT	which
just	RB	just
shows	VBZ	show
how	WRB	how
you	PP	you
need	VBP	need
hot	JJ	hot
you	PP	you
need	VBP	need
to	TO	to
get	VB	get
the	DT	the
frying	VBG	fry
pan	NN	pan
but	CC	but
yeah	RB	yeah
it	PP	it
was	VBD	be
awesome	JJ	awesome
cif	NN	cif
lemon	NN	lemon
lots	NNS	lot
of	IN	of
sugar	NN	sugar
or	CC	or
are	VBP	be
you	PP	you
a	DT	a
chocolate	NN	chocolate
spread	NN	spread
pancake	NN	pancake
person	NN	person
?	SENT	?
