yes	UH	yes
but	CC	but
when	WRB	when
we	PP	we
were	VBD	be
at	IN	at
parents	NNS	parent
'	POS	'
evening	NN	evening
he	PP	he
said	VBD	say
that	IN	that
coaching	NN	coaching
tennis	NN	tennis
was	VBD	be
a	DT	a
difficult	JJ	difficult
one	CD	one
to	TO	to
assess	VB	assess
and	CC	and
he	PP	he
would	MD	would
n't	RB	n't
necessarily	RB	necessarily
recommend	VB	recommend
that	IN	that
we	PP	we
use	VBP	use
it	PP	it
as	IN	as
one	CD	one
of	IN	of
his	PP$	his
two	CD	two
practicals	NNS	practical
for	IN	for
A	DT	a
level	NN	level
you	PP	you
have	VBP	have
to	TO	to
have	VB	have
two	CD	two
so	IN	so
obviously	RB	obviously
one	CD	one
is	VBZ	be
his	PP$	his
playing	NN	playing
of	IN	of
tennis	NN	tennis
and	CC	and
the	DT	the
other	JJ	other
one	CD	one
he	PP	he
says	VBZ	say
you	PP	you
know	VBP	know
he	PP	he
's	VBZ	be
got	VBD	get
he	PP	he
's	VBZ	have
got	VBN	get
a	DT	a
he	PP	he
's	VBZ	have
got	VBN	get
a	DT	a
few	JJ	few
to	TO	to
choose	VB	choose
from	IN	from
erm	NN	erm
but	CC	but
he	PP	he
said	VBD	say
m	NN	m
coaching	NN	coaching
would	MD	would
n't	RB	n't
he	PP	he
said	VBD	say
it	PP	it
's	VBZ	be
just	RB	just
a	DT	a
really	RB	really
difficult	JJ	difficult
one	CD	one
to	TO	to
assess	VB	assess
and	CC	and
hard	RB	hard
to	TO	to
get	VB	get
higher	JJR	high
marks	NNS	mark
in	IN	in
