yeah	RB	yeah
cos	NN	cos
we	PP	we
've	VBP	have
got	VBN	get
well	RB	well
we	PP	we
are	VBP	be
we	PP	we
've	VBP	have
we	PP	we
've	VBP	have
been	VBN	be
in	IN	in
that	DT	that
building	NN	building
for	IN	for
ten	CD	ten
years	NNS	year
and	CC	and
as	IN	as
the	DT	the
bui	NN	bui
as	IN	as
the	DT	the
company	NN	company
has	VBZ	have
grown	VBN	grow
we	PP	we
've	VBP	have
outgrown	VBN	outgrow
the	DT	the
building	NN	building
so	IN	so
we	PP	we
've	VBP	have
got	VBN	get
a	DT	a
whole	JJ	whole
building	NN	building
which	WDT	which
is	VBZ	be
just	RB	just
two	CD	two
floors	NNS	floor
there	RB	there
's	VBZ	be
only	RB	only
twenty-six	NN	twenty-six
of	IN	of
us	PP	us
there	EX	there
it	PP	it
's	VBZ	be
not	RB	not
it	PP	it
's	VBZ	be
not	RB	not
massive	JJ	massive
by	IN	by
any	DT	any
stretch	NN	stretch
of	IN	of
the	DT	the
imagination	NN	imagination
and	CC	and
then	RB	then
five	CD	five
floors	NNS	floor
down	RB	down
in	IN	in
the	DT	the
business	NN	business
part	NN	part
we	PP	we
've	VBP	have
got	VBN	get
the	DT	the
lower	JJR	low
floor	NN	floor
it	PP	it
's	VBZ	be
the	DT	the
the	DT	the
buildings	NNS	building
are	VBP	be
identical	JJ	identical
we	PP	we
've	VBP	have
got	VBN	get
the	DT	the
lower	JJR	low
floor	NN	floor
there	RB	there
with	IN	with
about	IN	about
fourteen	NN	fourteen
people	NNS	people
there	RB	there
so	RB	so
there	EX	there
's	VBZ	be
about	RB	about
forty	NN	forty
people	NNS	people
altogether	RB	altogether
so	RB	so
I	PP	I
've	VBP	have
got	VBN	get
one	CD	one
first	JJ	first
aider	NN	aider
in	IN	in
that	WDT	that
I	PP	I
think	VBP	think
we	PP	we
only	RB	only
need	VBP	need
one	CD	one
first	JJ	first
aider	NN	aider
for	IN	for
the	DT	the
number	NN	number
of	IN	of
people	NNS	people
but	CC	but
what	WP	what
we	PP	we
've	VBP	have
done	VBN	do
we	PP	we
've	VBP	have
got	VBN	get
one	CD	one
on	IN	on
each	DT	each
floor	NN	floor
