oh	UH	oh
I	PP	I
yeah	RB	yeah
I	PP	I
've	VBP	have
I	PP	I
no	RB	no
I	PP	I
've	VBP	have
I	PP	I
've	VBP	have
been	VBN	be
on	IN	on
a	DT	a
with	IN	with
when	WRB	when
I	PP	I
was	VBD	be
decorating	VBG	decorate
with	IN	with
erm	NN	erm
we	PP	we
were	VBD	be
painting	VBG	paint
a	DT	a
house	NN	house
where	WRB	where
erm	NN	erm
er	VBZ	<unknown>
the	DT	the
chap	NN	chap
who	WP	who
bought	VBD	buy
us	PP	us
bought	VBD	buy
us	PP	us
coffee	NN	coffee
and	CC	and
we	PP	we
're	VBP	be
sitting	VBG	sit
in	IN	in
the	DT	the
garage	NN	garage
and	CC	and
he	PP	he
and	CC	and
he	PP	he
said	VBD	say
to	TO	to
us	PP	us
said	VBD	say
can	MD	can
you	PP	you
see	VB	see
a	DT	a
gas	NN	gas
meter	NN	meter
here	RB	here
?	SENT	?
and	CC	and
I	PP	I
said	VBD	say
no	RB	no
there	EX	there
is	VBZ	be
n't	RB	n't
a	DT	a
gas	NN	gas
meter	NN	meter
here	RB	here
he	PP	he
said	VBD	say
there	EX	there
is	VBZ	be
n't	RB	n't
is	VBZ	be
there	RB	there
?	SENT	?
er	NNS	<unknown>
no	RB	no
hang	VBP	hang
on	IN	on
erm	NN	erm
was	VBD	be
it	PP	it
the	DT	the
other	JJ	other
way	NN	way
round	NN	round
?	SENT	?
no	DT	no
can	MD	can
you	PP	you
see	VB	see
the	DT	the
gas	NN	gas
meter	NN	meter
?	SENT	?
I	PP	I
said	VBD	say
yes	RB	yes
it	PP	it
's	VBZ	be
there	RB	there
th	NN	th
there	EX	there
was	VBD	be
a	DT	a
gas	NN	gas
meter	NN	meter
said	VBD	say
right	RB	right
we	PP	we
've	VBP	have
been	VBN	be
trying	VBG	try
to	TO	to
pay	VB	pay
that	DT	that
bill	NN	bill
for	IN	for
years	NNS	year
and	CC	and
I	PP	I
'm	VBP	be
getting	VBG	get
really	RB	really
worried	VBN	worry
now	RB	now
but	CC	but
every	DT	every
time	NN	time
I	PP	I
try	VBP	try
to	TO	to
pay	VB	pay
it	PP	it
they	PP	they
say	VBP	say
there	EX	there
is	VBZ	be
no	DT	no
gas	NN	gas
meter	NN	meter
in	IN	in
that	DT	that
house	NN	house
