no	RB	no
they	PP	they
'll	MD	will
want	VB	want
to	TO	to
get	VB	get
married	JJ	married
I	PP	I
think	VBP	think
but	RB	but
mind	VB	mind
you	PP	you
they	PP	they
have	VBP	have
n't	RB	n't
spent	VBN	spend
they	PP	they
've	VBP	have
been	VBN	be
together	RB	together
for	IN	for
five	CD	five
years	NNS	year
but	CC	but
of	IN	of
that	DT	that
time	NN	time
there	EX	there
's	VBZ	be
three	CD	three
of	IN	of
those	DT	those
years	NNS	year
one	CD	one
year	NN	year
he	PP	he
was	VBD	be
in	IN	in
Taiwan	NP	Taiwan
and	CC	and
then	RB	then
the	DT	the
last	JJ	last
two	CD	two
years	NNS	year
she	PP	she
's	VBZ	have
been	VBN	be
in	IN	in
Leeds	NP	Leeds
and	CC	and
he	PP	he
's	VBZ	have
been	VBN	be
in	IN	in
London	NP	London
so	IN	so
they	PP	they
have	VBP	have
n't	RB	n't
had	VBN	have
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
time	NN	time
together	RB	together
but	CC	but
he	PP	he
's	VBZ	be
brilliant	JJ	brilliant
he	PP	he
's	VBZ	be
such	PDT	such
a	DT	a
star	NN	star
he	PP	he
just	RB	just
a	DT	a
he	PP	he
's	VBZ	be
a	DT	a
hunting	NN	hunting
shooting	VBG	shoot
fishing	NN	fishing
type	NN	type
but	CC	but
he	PP	he
's	VBZ	be
not	RB	not
he	PP	he
's	VBZ	be
not	RB	not
sort	NN	sort
of	IN	of
pompous	JJ	pompous
or	CC	or
arrogant	JJ	arrogant
in	IN	in
any	DT	any
way	NN	way
he	PP	he
's	VBZ	be
just	RB	just
that	DT	that
's	VBZ	be
just	RB	just
what	WP	what
he	PP	he
's	VBZ	be
always	RB	always
done	VBN	do
that	DT	that
's	VBZ	be
what	WP	what
his	PP$	his
family	NN	family
have	VBP	have
done	VBN	do
they	PP	they
've	VBP	have
got	VBN	get
a	DT	a
massive	JJ	massive
pile	NN	pile
down	RB	down
in	IN	in
Hampshire	NP	Hampshire
with	IN	with
a	DT	a
river	NN	river
running	VBG	run
through	IN	through
it	PP	it
and	CC	and
fishing	NN	fishing
rights	NNS	right
on	IN	on
it	PP	it
I	PP	I
mean	VBP	mean
it	PP	it
's	VBZ	be
they	PP	they
've	VBP	have
got	VBN	get
not	RB	not
a	DT	a
penny	NN	penny
to	TO	to
rub	VB	rub
together	RB	together
but	CC	but
they	PP	they
've	VBP	have
got	VBN	get
this	DT	this
sort	NN	sort
of	IN	of
inherited	JJ	inherited
pile	NN	pile
which	WDT	which
is	VBZ	be
crumbling	VBG	crumble
round	IN	around
their	PP$	their
ears	NNS	ear
they	PP	they
ca	MD	ca
n't	RB	n't
actually	RB	actually
afford	VB	afford
ka	NN	ka
says	VBZ	say
she	PP	she
'd	MD	will
hate	VB	hate
it	PP	it
because	IN	because
you	PP	you
ca	MD	ca
n't	RB	n't
afford	VB	afford
to	TO	to
actually	RB	actually
do	VB	do
it	PP	it
up	RP	up
in	IN	in
any	DT	any
way	NN	way
so	IN	so
erm	NN	erm
but	CC	but
he	PP	he
's	VBZ	be
just	RB	just
a	DT	a
sort	NN	sort
of	IN	of
rather	RB	rather
different	JJ	different
background	NN	background
he	PP	he
was	VBD	be
at	IN	at
private	JJ	private
school	NN	school
all	PDT	all
his	PP$	his
life	NN	life
and	CC	and
but	RB	but
he	PP	he
's	VBZ	be
actually	RB	actually
but	RB	but
and	CC	and
he	PP	he
is	VBZ	be
a	DT	a
seriously	RB	seriously
nice	JJ	nice
guy	NN	guy
