what	WP	what
I	PP	I
'm	VBP	be
saying	VBG	say
is	VBZ	be
I	PP	I
've	VBP	have
I	PP	I
've	VBP	have
got	VBN	get
a	DT	a
bit	NN	bit
better	RBR	well
than	IN	than
I	PP	I
was	VBD	be
at	IN	at
uni	NN	uni
I	PP	I
've	VBP	have
learned	VBN	learn
to	TO	to
be	VB	be
a	DT	a
bit	NN	bit
more	RBR	more
fearless	JJ	fearless
so	IN	so
I	PP	I
've	VBP	have
sent	VBN	send
out	RP	out
letters	NNS	letter
and	CC	and
things	NNS	thing
like	VBP	like
that	IN	that
and	CC	and
then	RB	then
I	PP	I
email	VBP	<unknown>
people	NNS	people
and	CC	and
you	PP	you
know	VBP	know
ask	VB	ask
about	RB	about
like	IN	like
work	NN	work
experience	NN	experience
and	CC	and
stuff	NN	stuff
and	CC	and
then	RB	then
the	DT	the
other	JJ	other
day	NN	day
like	IN	like
I	PP	I
was	VBD	be
feeling	VBG	feel
really	RB	really
like	IN	like
you	PP	you
know	VBP	know
brave	JJ	brave
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
so	RB	so
I	PP	I
've	VBP	have
just	RB	just
got	VBN	get
it	PP	it
was	VBD	be
on	IN	on
the	DT	the
Monday	NP	Monday
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
right	RB	right
not	RB	not
messing	VBG	mess
around	RB	around
now	RB	now
I	PP	I
'm	VBP	be
gonna	VBG	gonna
email	NN	<unknown>
a	DT	a
bunch	NN	bunch
of	IN	of
people	NNS	people
see	VBP	see
if	IN	if
I	PP	I
can	MD	can
get	VB	get
some	DT	some
freelance	NN	freelance
work	NN	work
like	IN	like
just	RB	just
some	DT	some
checking	NN	checking
and	CC	and
proofreading	VBG	proofread
so	IN	so
I	PP	I
erm	VBP	<unknown>
so	RB	so
I	PP	I
emailed	JJ	<unknown>
Macmillan	NP	Macmillan
who	WP	who
are	VBP	be
like	IN	like
probably	RB	probably
the	DT	the
biggest	JJS	big
ELT	NP	<unknown>
publisher	NN	publisher
technically	RB	technically
erm	JJ	<unknown>
so	IN	so
I	PP	I
emailed	VBD	email
Macmillan	NP	Macmillan
but	RB	but
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
I	PP	I
just	RB	just
I	PP	I
just	RB	just
balls	VBZ	ball
ballsally	RB	<unknown>
like	VB	like
you	PP	you
know	VB	know
was	VBD	be
like	IN	like
you	PP	you
know	VBP	know
just	RB	just
just	RB	just
enquiring	VBG	<unknown>
about	IN	about
any	DT	any
kind	NN	kind
of	IN	of
like	JJ	like
er	NN	er
freelance	NN	freelance
work	NN	work
and	CC	and
then	RB	then
like	IN	like
I	PP	I
was	VBD	be
just	RB	just
like	IN	like
I	PP	I
'm	VBP	be
not	RB	not
gonna	VBG	gonna
overthink	NN	overthink
this	DT	this
press	NN	press
send	NN	send
and	CC	and
then	RB	then
like	VB	like
as	RB	as
soon	RB	soon
as	IN	as
I	PP	I
looked	VBD	look
at	IN	at
the	DT	the
sent	VBN	send
box	NN	box
it	PP	it
was	VBD	be
like	IN	like
I	PP	I
'd	VBD	have
I	PP	I
'd	MD	will
put	VB	put
I	PP	I
think	VBP	think
I	PP	I
'd	MD	will
put	VB	put
Macmilla	NP	Macmilla
