useful	JJ	useful
to	TO	to
look	VB	look
at	IN	at
something	NN	something
is	VBZ	be
n't	RB	n't
it	PP	it
?	SENT	?
erm	NN	erm
so	IN	so
you	PP	you
'll	MD	will
have	VB	have
your	PP$	your
three	CD	three
your	PP$	your
three	CD	three
acts	NNS	act
let	VBP	let
's	VBZ	be
just	RB	just
see	VB	see
we	PP	we
'll	MD	will
mark	VB	mark
them	PP	them
down	RB	down
like	VBP	like
that	IN	that
because	IN	because
the	DT	the
second	JJ	second
act	NN	act
tends	VBZ	tend
to	TO	to
be	VB	be
a	DT	a
bit	NN	bit
longer	RBR	longer
erm	JJ	<unknown>
mainly	RB	mainly
because	IN	because
you	PP	you
can	MD	can
use	VB	use
montage	NN	montage
at	IN	at
the	DT	the
beginning	NN	beginning
you	PP	you
can	MD	can
use	VB	use
lots	NNS	lot
of	IN	of
montage	NN	montage
to	TO	to
cut	VB	cut
to	TO	to
your	PP$	your
story	NN	story
to	TO	to
start	VB	start
very	RB	very
quickly	RB	quickly
and	CC	and
then	RB	then
you	PP	you
know	VBP	know
an	DT	an
ending	NN	ending
can	MD	can
appear	VB	appear
like	IN	like
in	IN	in
a	DT	a
flash	NN	flash
like	IN	like
what	WP	what
?	SENT	?
it	PP	it
just	RB	just
ended	VBD	end
?	SENT	?
that	DT	that
's	VBZ	be
it	PP	it
so	RB	so
this	DT	this
bit	NN	bit
is	VBZ	be
the	DT	the
bit	NN	bit
that	WDT	that
normally	RB	normally
takes	VBZ	take
for	IN	for
ages	NNS	age
is	VBZ	be
the	DT	the
second	JJ	second
act	NN	act
and	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
people	NNS	people
tend	VBP	tend
to	TO	to
this	DT	this
last	JJ	last
bit	NN	bit
here	IN	here
lots	NNS	lot
of	IN	of
filmmakers	NNS	filmmaker
get	VBP	get
this	DT	this
bit	NN	bit
wrong	RB	wrong
I	PP	I
'll	MD	will
tell	VB	tell
you	PP	you
I	PP	I
'll	MD	will
tell	VB	tell
you	PP	you
why	WRB	why
is	VBZ	be
because	IN	because
it	PP	it
's	VBZ	be
difficult	JJ	difficult
to	TO	to
do	VB	do
so	RB	so
anyway	RB	anyway
the	DT	the
character	NN	character
arc	NN	arc
will	MD	will
normally	RB	normally
be	VB	be
your	PP$	your
arc	NN	arc
so	IN	so
it	PP	it
will	MD	will
be	VB	be
and	CC	and
this	DT	this
is	VBZ	be
their	PP$	their
own	JJ	own
personal	JJ	personal
trajectory	NN	trajectory
so	RB	so
here	RB	here
let	VB	let
's	VBZ	be
just	RB	just
say	VBP	say
this	DT	this
is	VBZ	be
n't	RB	n't
anything	NN	anything
to	TO	to
do	VB	do
with	IN	with
erm	NN	erm
happiness	NN	happiness
or	CC	or
it	PP	it
's	VBZ	be
nothing	NN	nothing
to	TO	to
do	VB	do
with	IN	with
emotion	NN	emotion
it	PP	it
's	VBZ	be
just	RB	just
basically	RB	basically
trying	VBG	try
to	TO	to
show	VB	show
that	IN	that
you	PP	you
need	VBP	need
to	TO	to
have	VB	have
them	PP	them
do	VBP	do
something	NN	something
quite	RB	quite
amazing	JJ	amazing
you	PP	you
know	VBP	know
something	NN	something
needs	VBZ	need
to	TO	to
happen	VB	happen
to	TO	to
them	PP	them
that	IN	that
really	RB	really
is	VBZ	be
obvious	JJ	obvious
to	TO	to
an	DT	an
audience	NN	audience
and	CC	and
that	DT	that
's	VBZ	be
why	WRB	why
I	PP	I
think	VBP	think
they	PP	they
use	VB	use
an	DT	an
arc	NN	arc
is	VBZ	be
to	TO	to
show	VB	show
something	NN	something
quite	RB	quite
big	JJ	big
has	VBZ	have
changed	VBN	change
