oh	UH	oh
it	PP	it
does	VBZ	do
n't	RB	n't
look	VB	look
as	RB	as
big	JJ	big
as	IN	as
the	DT	the
like	JJ	like
but	CC	but
it	PP	it
was	VBD	be
n't	RB	n't
as	RB	as
posh	JJ	posh
but	CC	but
it	PP	it
was	VBD	be
it	PP	it
was	VBD	be
white	JJ	white
an	DT	an
all-white	JJ	all-white
Range	NP	Range
Rover	NP	Rover
it	PP	it
was	VBD	be
lovely	JJ	lovely
he	PP	he
came	VBD	come
here	RB	here
dropped	VBN	drop
stuff	NN	stuff
off	IN	off
here	RB	here
and	CC	and
he	PP	he
was	VBD	be
he	PP	he
was	VBD	be
only	RB	only
here	RB	here
a	DT	a
fortnight	NN	fortnight
ago	RB	ago
he	PP	he
had	VBD	have
to	TO	to
go	VB	go
where	WRB	where
way	NN	way
down	RB	down
to	TO	to
somewhere	RB	somewhere
down	RB	down
the	DT	the
south	JJ	south
right	NN	right
down	RB	down
south	RB	south
it	PP	it
took	VBD	take
him	PP	him
three	CD	three
and	CC	and
a	DT	a
half	JJ	half
hours	NNS	hour
to	TO	to
get	VB	get
there	RB	there
then	RB	then
you	PP	you
know	VBP	know
so	RB	so
and	CC	and
er	RB	<unknown>
he	PP	he
went	VBD	go
in	IN	in
that	DT	that
and	CC	and
the	DT	the
same	JJ	same
thing	NN	thing
they	PP	they
paid	VBD	pay
for	IN	for
the	DT	the
petrol	NN	petrol
so	IN	so
he	PP	he
said	VBD	say
they	PP	they
're	VBP	be
alright	RB	alright
like	JJ	like
at	IN	at
Fords	NNS	ford
if	IN	if
you	PP	you
've	VBP	have
asked	VBN	ask
them	PP	them
you	PP	you
know	VBP	know
?	SENT	?
