yeah	RB	yeah
and	CC	and
to	TO	to
see	VB	see
what	WP	what
happens	VBZ	happen
so	RB	so
then	RB	then
she	PP	she
said	VBD	say
to	TO	to
me	PP	me
I	PP	I
'm	VBP	be
not	RB	not
really	RB	really
happy	JJ	happy
about	IN	about
this	DT	this
because	IN	because
she	PP	she
said	VBD	say
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
it	PP	it
is	VBZ	be
your	PP$	your
age	NN	age
she	PP	she
said	VBD	say
I	PP	I
think	VBP	think
it	PP	it
's	VBZ	be
erm	NN	erm
she	PP	she
said	VBD	say
did	VBD	do
you	PP	you
say	VBP	say
when	WRB	when
you	PP	you
saw	VBD	see
the	DT	the
consultant	NN	consultant
and	CC	and
you	PP	you
told	VBD	tell
him	PP	him
about	IN	about
all	PDT	all
the	DT	the
other	JJ	other
side	NN	side
effects	NNS	effect
did	VBD	do
you	PP	you
mention	VB	mention
this	DT	this
?	SENT	?
I	PP	I
said	VBD	say
no	DT	no
cos	NN	cos
I	PP	I
thought	VBD	think
this	DT	this
was	VBD	be
my	PP$	my
age	NN	age
she	PP	she
said	VBD	say
I	PP	I
do	VBP	do
n't	RB	n't
think	VB	think
it	PP	it
is	VBZ	be
she	PP	she
said	VBD	say
I	PP	I
think	VBP	think
it	PP	it
it	PP	it
might	MD	might
be	VB	be
because	IN	because
of	IN	of
these	DT	these
drugs	NNS	drug
and	CC	and
she	PP	she
said	VBD	say
erm	NN	erm
I	PP	I
'm	VBP	be
if	IN	if
you	PP	you
'd	MD	will
've	VB	have
said	VBN	say
it	PP	it
sh	JJ	<unknown>
cos	NN	cos
it	PP	it
's	VBZ	be
a	DT	a
new	JJ	new
drug	NN	drug
she	PP	she
said	VBD	say
if	IN	if
you	PP	you
'd	MD	will
've	VB	have
said	VBN	say
and	CC	and
it	PP	it
would	MD	would
've	VB	have
been	VBN	be
noted	VBN	note
down	RB	down
and	CC	and
then	RB	then
someone	NN	someone
else	RB	else
had	VBD	have
said	VBN	say
it	PP	it
and	CC	and
someone	NN	someone
else	NN	else
that	WDT	that
's	VBZ	be
how	WRB	how
you	PP	you
build	VBP	build
up	RB	up
what	WP	what
the	DT	the
side	NN	side
effects	NNS	effect
are	VBP	be
