which	WDT	which
is	VBZ	be
like	IN	like
the	DT	the
music	NN	music
place	NN	place
of	IN	of
Cuba	NP	Cuba
and	CC	and
yeah	RB	yeah
years	NNS	year
ago	RB	ago
I	PP	I
saw	VBD	see
the	DT	the
film	NN	film
Buena	NP	Buena
Vista	NP	Vista
Social	NP	Social
Club	NP	Club
and	CC	and
I	PP	I
presume	VBP	presume
half	NN	half
of	IN	of
the	DT	the
old	JJ	old
musicians	NNS	musician
who	WP	who
were	VBD	be
in	IN	in
it	PP	it
are	VBP	be
dead	RB	dead
now	RB	now
but	CC	but
it	PP	it
's	VBZ	be
a	DT	a
wonderful	JJ	wonderful
story	NN	story
about	IN	about
all	DT	all
of	IN	of
these	DT	these
sort	NN	sort
of	IN	of
real	JJ	real
erm	NN	erm
guys	NNS	guy
from	IN	from
Cuba	NP	Cuba
and	CC	and
other	JJ	other
parts	NNS	part
of	IN	of
South	NP	South
America	NP	America
who	WP	who
play	VBP	play
their	PP$	their
instruments	NNS	instrument
exceptionally	RB	exceptionally
well	RB	well
and	CC	and
erm	RB	<unknown>
they	PP	they
were	VBD	be
taken	VBN	take
to	TO	to
the	DT	the
States	NPS	States
I	PP	I
think	VBP	think
it	PP	it
might	MD	might
even	RB	even
have	VB	have
been	VBN	be
Vegas	NP	Vegas
or	CC	or
New	NP	New
York	NP	York
or	CC	or
LA	NP	LA
somewhere	RB	somewhere
glitzy	JJ	glitzy
jazzy	JJ	jazzy
erm	NN	erm
to	TO	to
perform	VB	perform
and	CC	and
they	PP	they
'd	MD	will
never	RB	never
really	RB	really
been	VBN	be
out	RP	out
of	IN	of
their	PP$	their
home	NN	home
towns	NNS	town
and	CC	and
sort	NN	sort
of	IN	of
explored	VBD	explore
wider	JJR	wide
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
it	PP	it
was	VBD	be
just	RB	just
a	DT	a
sort	NN	sort
of	IN	of
a	DT	a
documentary	JJ	documentary
sort	NN	sort
of	IN	of
following	VBG	follow
them	PP	them
and	CC	and
their	PP$	their
adventures	NNS	adventure
it	PP	it
was	VBD	be
really	RB	really
good	JJ	good
great	JJ	great
music	NN	music
yeah	RB	yeah
this	DT	this
erm	JJ	<unknown>
Austrian	JJ	Austrian
farm	NN	farm
that	IN	that
I	PP	I
could	MD	could
go	VB	go
work	VB	work
at	IN	at
is	VBZ	be
full	JJ	full
of	IN	of
South	NP	South
American	NP	American
people	NNS	people
I	PP	I
think	VBP	think
it	PP	it
's	VBZ	be
mostly	RB	mostly
South	NP	South
American	NP	American
owned	VBD	own
