yes	UH	yes
which	WDT	which
was	VBD	be
delicious	JJ	delicious
erm	NN	erm
and	CC	and
I	PP	I
had	VBD	have
some	DT	some
er	NN	er
but	CC	but
I	PP	I
thought	VBD	think
right	RB	right
I	PP	I
want	VBP	want
to	TO	to
have	VB	have
a	DT	a
treat	NN	treat
but	CC	but
I	PP	I
'm	VBP	be
gonna	VBG	gonna
be	VB	be
really	RB	really
good	JJ	good
so	IN	so
I	PP	I
had	VBD	have
some	DT	some
dates	NNS	date
and	CC	and
I	PP	I
had	VBD	have
some	DT	some
yogurt	NN	yogurt
and	CC	and
things	NNS	thing
like	IN	like
that	DT	that
and	CC	and
do	VBP	do
you	PP	you
know	VBP	know
what	WP	what
?	SENT	?
I	PP	I
woke	VBD	wake
up	RP	up
and	CC	and
I	PP	I
felt	VBD	feel
brilliant	JJ	brilliant
and	CC	and
I	PP	I
got	VBD	get
up	RP	up
the	DT	the
normal	JJ	normal
time	NN	time
and	CC	and
I	PP	I
did	VBD	do
loads	NNS	load
of	IN	of
work	NN	work
and	CC	and
then	RB	then
I	PP	I
went	VBD	go
to	TO	to
and	CC	and
I	PP	I
felt	VBD	feel
brilliant	JJ	brilliant
and	CC	and
then	RB	then
the	DT	the
same	JJ	same
thing	NN	thing
on	IN	on
that	DT	that
Saturday	NP	Saturday
evening	NN	evening
when	WRB	when
I	PP	I
was	VBD	be
watching	VBG	watch
Eurovision	NP	Eurovision
I	PP	I
was	VBD	be
very	RB	very
sensible	JJ	sensible
and	CC	and
I	PP	I
thought	VBD	think
mm	NN	mm.
mm	NN	mm.
no	RB	no
I	PP	I
wo	MD	wo
n't	RB	n't
have	VB	have
anything	NN	anything
naughty	JJ	naughty
and	CC	and
again	RB	again
I	PP	I
got	VBD	get
up	RP	up
at	IN	at
eight	CD	eight
o'clock	RB	o'clock
on	IN	on
the	DT	the
Sunday	NP	Sunday
and	CC	and
then	RB	then
I	PP	I
was	VBD	be
in	IN	in
the	DT	the
gym	NN	gym
by	IN	by
nine	CD	nine
o'clock	RB	o'clock
doing	VBG	do
a	DT	a
run	NN	run
going	VBG	go
for	IN	for
a	DT	a
run	NN	run
so	IN	so
I	PP	I
really	RB	really
cannot	MD	can
have	VB	have
sugar	NN	sugar
any	DT	any
more	RBR	more
it	PP	it
makes	VBZ	make
me	PP	me
ill	RB	ill
