yeah	RB	yeah
you	PP	you
could	MD	could
be	VB	be
I	PP	I
mean	VBP	mean
we	PP	we
were	VBD	be
we	PP	we
had	VBD	have
we	PP	we
felt	VBD	feel
quite	PDT	quite
a	DT	a
big	JJ	big
tremor	NN	tremor
when	WRB	when
we	PP	we
were	VBD	be
in	IN	in
this	DT	this
oasis	NN	oasis
in	IN	in
Peru	NP	Peru
and	CC	and
it	PP	it
's	VBZ	be
like	IN	like
a	DT	a
big	JJ	big
it	PP	it
's	VBZ	be
just	RB	just
sand	NN	sand
and	CC	and
like	IN	like
we	PP	we
're	VBP	be
staying	VBG	stay
in	IN	in
the	DT	the
centre	NN	centre
and	CC	and
there	EX	there
's	VBZ	be
literally	RB	literally
you	PP	you
like	VBP	like
a	DT	a
picture	NN	picture
postcard	NN	postcard
oasis	NN	oasis
like	IN	like
just	RB	just
sand	NN	sand
everywhere	RB	everywhere
and	CC	and
everyone	NN	everyone
's	POS	's
like	JJ	like
sandboarding	NN	sandboarding
and	CC	and
stuff	NN	stuff
it	PP	it
was	VBD	be
quite	RB	quite
cool	JJ	cool
but	CC	but
I	PP	I
felt	VBD	feel
this	DT	this
massive	JJ	massive
tremor	NN	tremor
when	WRB	when
we	PP	we
were	VBD	be
like	JJ	like
in	IN	in
the	DT	the
thing	NN	thing
and	CC	and
in	IN	in
my	PP$	my
head	NN	head
I	PP	I
'm	VBP	be
going	VBG	go
surely	RB	surely
the	DT	the
sand	NN	sand
is	VBZ	be
just	RB	just
going	VBG	go
to	TO	to
wobble	VB	wobble
and	CC	and
just	RB	just
fill	VB	fill
in	IN	in
this	DT	this
hole	NN	hole
do	VBP	do
you	PP	you
know	VBP	know
that	DT	that
's	VBZ	be
what	WP	what
I	PP	I
was	VBD	be
thinking	VBG	think
in	IN	in
my	PP$	my
head	NN	head
it	PP	it
's	VBZ	be
going	VBG	go
to	TO	to
kind	NN	kind
of	IN	of
shake	NN	shake
the	DT	the
hole	NN	hole
full	JJ	full
