Vers	NP	Vers
yeah	RB	yeah
versus	CC	versus
really	RB	really
going	VBG	go
out	RP	out
and	CC	and
having	VBG	have
like	IN	like
yeah	RB	yeah
shots	NNS	shot
with	IN	with
friends	NNS	friend
from	IN	from
uni	NN	uni
just	RB	just
kind	RB	kind
of	IN	of
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
yeah	RB	yeah
I	CD	@card@
kind	NN	kind
of	IN	of
I	PP	I
just	RB	just
get	VBP	get
the	DT	the
impression	NN	impression
that	IN	that
she	PP	she
's	VBZ	be
a	DT	a
a	DT	a
massive	JJ	massive
seething	JJ	seething
ball	NN	ball
of	IN	of
nerves	NNS	nerve
and	CC	and
neurosis	NN	neurosis
and	CC	and
when	WRB	when
she	PP	she
's	VBZ	be
with	IN	with
her	PP$	her
friends	NNS	friend
she	PP	she
's	VBZ	be
kind	NN	kind
of	IN	of
yeah	RB	yeah
more	RBR	more
more	RBR	more
relaxed	VBN	relax
and	CC	and
and	CC	and
that	DT	that
kind	NN	kind
of	IN	of
thing	NN	thing
but	CC	but
maybe	RB	maybe
it	PP	it
's	VBZ	be
still	RB	still
there	RB	there
underneath	RB	underneath
and	CC	and
she	PP	she
's	VBZ	be
just	RB	just
pretending	VBG	pretend
and	CC	and
it	PP	it
's	VBZ	be
easier	JJR	easy
to	TO	to
pretend	VB	pretend
when	WRB	when
she	PP	she
's	VBZ	be
not	RB	not
with	IN	with
me	PP	me
and	CC	and
with	IN	with
me	PP	me
she	PP	she
just	RB	just
does	VBZ	do
n't	RB	n't
worry	VB	worry
too	RB	too
much	RB	much
and	CC	and
it	PP	it
's	VBZ	be
just	RB	just
a	DT	a
massive	JJ	massive
yeah	RB	yeah
I	PP	I
just	RB	just
get	VBP	get
the	DT	the
impression	NN	impression
that	IN	that
she	PP	she
's	VBZ	be
on	IN	on
edge	NN	edge
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
time	NN	time
