w	NN	w
was	VBD	be
really	RB	really
like	IN	like
kind	NN	kind
of	IN	of
annoyed	JJ	annoyed
with	IN	with
them	PP	them
cos	NN	cos
she	PP	she
was	VBD	be
like	JJ	like
why	WRB	why
would	MD	would
you	PP	you
do	VB	do
that	DT	that
?	SENT	?
why	WRB	why
would	MD	would
you	PP	you
let	VB	let
her	PP	her
carry	VB	carry
on	RP	on
?	SENT	?
and	CC	and
I	PP	I
I	PP	I
must	MD	must
admit	VB	admit
I	PP	I
I	PP	I
was	VBD	be
fine	JJ	fine
er	NN	er
it	PP	it
was	VBD	be
when	WRB	when
I	PP	I
went	VBD	go
to	TO	to
get	VB	get
like	IN	like
when	WRB	when
I	PP	I
started	VBD	start
my	PP$	my
kidney	NN	kidney
infection	NN	infection
was	VBD	be
like	IN	like
I	PP	I
ca	MD	ca
n't	RB	n't
believe	VB	believe
they	PP	they
did	VBD	do
this	DT	this
to	TO	to
you	PP	you
and	CC	and
I	PP	I
was	VBD	be
like	IN	like
it	PP	it
was	VBD	be
my	PP$	my
like	IN	like
I	PP	I
did	VBD	do
kind	NN	kind
of	IN	of
you	PP	you
know	VBP	know
do	VB	do
it	PP	it
myself	PP	myself
and	CC	and
she	PP	she
was	VBD	be
like	IN	like
no	RB	no
I	PP	I
ca	MD	ca
n't	RB	n't
believe	VB	believe
they	PP	they
did	VBD	do
this	DT	this
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
but	CC	but
it	PP	it
was	VBD	be
kinda	RB	kinda
me	PP	me
as	RB	as
well	RB	well
