no	RB	no
I	PP	I
said	VBD	say
to	TO	to
her	PP	her
a	DT	a
few	JJ	few
weeks	NNS	week
ago	RB	ago
me	PP	me
and	CC	and
me	PP	me
and	CC	and
her	PP	her
went	VBD	go
to	TO	to
see	VB	see
and	CC	and
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
erm	NN	erm
since	IN	since
you	PP	you
're	VBP	be
not	RB	not
here	RB	here
for	IN	for
my	PP$	my
birthday	NN	birthday
I	PP	I
was	VBD	be
thinking	VBG	think
maybe	RB	maybe
we	PP	we
just	RB	just
do	VBP	do
like	IN	like
a	DT	a
joint	JJ	joint
thing	NN	thing
together	RB	together
like	IN	like
some	DT	some
time	NN	time
in	IN	in
between	IN	between
our	PP$	our
birthday	NN	birthday
so	RB	so
like	IN	like
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
do	VB	do
you	PP	you
fancy	JJ	fancy
doing	VBG	do
something	NN	something
like	IN	like
the	DT	the
first	JJ	first
weekend	NN	weekend
in	IN	in
March	NP	March
?	SENT	?
and	CC	and
she	PP	she
was	VBD	be
like	JJ	like
oh	UH	oh
I	PP	I
'm	VBP	be
actually	RB	actually
not	RB	not
free	JJ	free
until	IN	until
my	PP$	my
birthday	NN	birthday
weekend	NN	weekend
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
what	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
?	SENT	?
and	CC	and
she	PP	she
's	VBZ	be
like	VB	like
oh	UH	oh
well	UH	well
obviously	RB	obviously
we	PP	we
're	VBP	be
away	RB	away
your	PP$	your
birthday	NN	birthday
weekend	NN	weekend
and	CC	and
we	PP	we
're	VBP	be
actually	RB	actually
away	RB	away
the	DT	the
weekend	NN	weekend
after	IN	after
like	JJ	like
same	JJ	same
thing	NN	thing
like	IN	like
we	PP	we
do	VBP	do
n't	RB	n't
get	VB	get
back	RB	back
till	IN	till
the	DT	the
Sunday	NP	Sunday
I	NP	I
was	VBD	be
like	VB	like
oh	UH	oh
right	RB	right
okay	JJ	okay
she	PP	she
was	VBD	be
like	IN	like
yeah	RB	yeah
and	CC	and
and	CC	and
and	NP	and
'	POS	'
s	NN	S
taking	VBG	take
us	PP	us
to	TO	to
see	VB	see
his	PP$	his
gone	VBN	go
his	PP$	his
godmother	NN	godmother
the	DT	the
first	JJ	first
weekend	NN	weekend
in	IN	in
March	NP	March
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
right	NN	right
and	CC	and
she	PP	she
's	VBZ	be
like	IN	like
yeah	RB	yeah
I	PP	I
was	VBD	be
bit	NN	bit
annoyed	VBN	annoy
about	RB	about
that	IN	that
like	IN	like
just	RB	just
he	PP	he
just	RB	just
went	VBD	go
and	CC	and
booked	VBD	book
it	PP	it
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
oh	UH	oh
right	RB	right
okay	JJ	okay
so	IN	so
she	PP	she
was	VBD	be
like	IN	like
yeah	RB	yeah
so	RB	so
I	PP	I
'm	VBP	be
only	RB	only
free	JJ	free
on	IN	on
my	PP$	my
birthday	NN	birthday
it	PP	it
's	VBZ	be
like	IN	like
