but	CC	but
yeah	RB	yeah
that	IN	that
the	DT	the
f	NN	f
okay	RB	okay
get	VB	get
your	PP$	your
R	NN	R
ready	JJ	ready
no	RB	no
never	RB	never
mind	VB	mind
never	RB	never
mind	NN	mind
do	VBP	do
n't	RB	n't
use	VB	use
it	PP	it
do	VBP	do
n't	RB	n't
use	VB	use
it	PP	it
R	NP	R
's	POS	's
R	NN	R
's	VBZ	be
a	DT	a
good	JJ	good
one	CD	one
press	NN	press
escape	NN	escape
or	CC	or
you	PP	you
could	MD	could
've	VB	have
just	RB	just
okay	RB	okay
use	VB	use
your	PP$	your
Q	NP	Q
cos	NN	cos
they	PP	they
're	VBP	be
all	RB	all
lined	VBN	line
up	RP	up
yeah	RB	yeah
and	CC	and
then	RB	then
use	VB	use
your	PP$	your
U	NP	U
erm	NN	erm
U	NP	U
on	IN	on
them	PP	them
no	RB	no
do	VBP	do
n't	RB	n't
mm	NN	mm.
I	PP	I
'd	VBD	have
just	RB	just
killed	VBN	kill
the	DT	the
minion	NN	minion
as	RB	as
well	RB	well
keep	VB	keep
pushing	VBG	push
keep	NN	keep
going	VBG	go
very	RB	very
good	RB	good
use	VB	use
your	PP$	your
Q	NN	Q
see	VBP	see
they	PP	they
're	VBP	be
all	RB	all
in	IN	in
a	DT	a
nice	JJ	nice
line	NN	line
and	CC	and
then	RB	then
use	VB	use
your	PP$	your
E	NN	E
on	IN	on
them	PP	them
you	PP	you
can	MD	can
finish	VB	finish
them	PP	them
always	RB	always
try	VBP	try
and	CC	and
finish	VBP	finish
them	PP	them
baby	VBP	baby
it	PP	it
's	VBZ	be
called	VBN	call
last	JJ	last
hitting	VBG	hit
otherwise	RB	otherwise
you	PP	you
do	VBP	do
n't	RB	n't
get	VB	get
the	DT	the
gold	NN	gold
run	VBP	run
away	RB	away
run	VB	run
away	RB	away
run	VBP	run
away	RB	away
run	VB	run
away	RB	away
yeah	RB	yeah
wait	VB	wait
for	IN	for
your	PP$	your
minions	NNS	minion
to	TO	to
go	VB	go
yeah	RB	yeah
go	VB	go
back	RB	back
in	IN	in
you	PP	you
might	MD	might
have	VB	have
to	TO	to
run	VB	run
away	RP	away
a	DT	a
little	JJ	little
bit	NN	bit
cos	NN	cos
you	PP	you
're	VBP	be
getting	VBG	get
quite	RB	quite
close	JJ	close
to	TO	to
their	PP$	their
base	NN	base
so	IN	so
it	PP	it
's	VBZ	be
quite	RB	quite
easy	JJ	easy
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
to	TO	to
collapse	VB	collapse
on	IN	on
you	PP	you
at	IN	at
once	RB	once
cos	NN	cos
you	PP	you
're	VBP	be
not	RB	not
so	RB	so
spread	VBN	spread
out	RP	out
okay	RB	okay
use	VB	use
your	PP$	your
Q	NN	Q
yeah	RB	yeah
good	JJ	good
stuff	NN	stuff
and	CC	and
then	RB	then
E	NN	E
on	IN	on
them	PP	them
yeah	RB	yeah
you	PP	you
're	VBP	be
good	JJ	good
you	PP	you
're	VBP	be
good	JJ	good
you	PP	you
're	VBP	be
good	JJ	good
you	PP	you
can	MD	can
still	RB	still
see	VB	see
through	IN	through
yeah	RB	yeah
last	JJ	last
clicking	VBG	click
baby	NN	baby
you	PP	you
can	MD	can
finish	VB	finish
their	PP$	their
turret	NN	turret
okay	VB	okay
you	PP	you
c	NN	c
you	PP	you
've	VBP	have
got	VBN	get
levels	NNS	level
up	IN	up
c	NN	c
no	RB	no
finish	VB	finish
it	PP	it
finish	VB	finish
good	JJ	good
very	RB	very
good	JJ	good
very	RB	very
good	JJ	good
you	PP	you
used	VBD	use
your	PP$	your
Ult	NN	Ult
there	RB	there
perfectly	RB	perfectly
your	PP$	your
Ult	NN	Ult
freezes	VBZ	freeze
them	PP	them
and	CC	and
binds	VBZ	bind
them	PP	them
to	TO	to
the	DT	the
ground	NN	ground
