not	RB	not
back	RB	back
till	IN	till
Saturday	NP	Saturday
erm	NN	erm
so	IN	so
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
that	WDT	that
would	MD	would
be	VB	be
my	PP$	my
first	JJ	first
thing	NN	thing
that	IN	that
I	PP	I
would	MD	would
suggest	VB	suggest
put	VB	put
it	PP	it
in	IN	in
an	DT	an
email	NN	<unknown>
sort	NN	sort
of	IN	of
some	DT	some
questions	NNS	question
to	TO	to
her	PP	her
to	TO	to
make	VB	make
her	PP$	her
question	NN	question
herself	PP	herself
and	CC	and
and	CC	and
say	VBP	say
you	PP	you
know	VBP	know
I	PP	I
'm	VBP	be
happy	JJ	happy
for	IN	for
you	PP	you
if	IN	if
that	DT	that
's	VBZ	be
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
if	IN	if
if	IN	if
you	PP	you
think	VBP	think
it	PP	it
's	VBZ	be
right	JJ	right
if	IN	if
and	CC	and
you	PP	you
think	VBP	think
it	PP	it
's	VBZ	be
right	RB	right
for	IN	for
you	PP	you
and	CC	and
that	IN	that
you	PP	you
can	MD	can
be	VB	be
looked	VBN	look
after	IN	after
kind	NN	kind
of	IN	of
like	JJ	like
and	CC	and
then	RB	then
she	PP	she
'll	MD	will
she	PP	she
'll	MD	will
be	VB	be
annoyed	VBN	annoy
by	IN	by
that	DT	that
cos	NN	cos
she	PP	she
wo	MD	wo
n't	RB	n't
like	VB	like
it	PP	it
she	PP	she
wo	MD	wo
n't	RB	n't
like	VB	like
it	PP	it
you	PP	you
saying	VBG	say
yeah	RB	yeah
okay	RB	okay
go	VB	go
ahead	RB	ahead
that	WDT	that
's	VBZ	be
what	WP	what
effectively	RB	effectively
you	PP	you
're	VBP	be
saying	VBG	say
and	CC	and
then	RB	then
you	PP	you
can	MD	can
say	VB	say
alternative	NN	alternative
if	IN	if
you	PP	you
do	VBP	do
n't	RB	n't
think	VB	think
he	PP	he
's	VBZ	be
gonna	VBG	gonna
be	VB	be
there	RB	there
forever	RB	forever
you	PP	you
do	VBP	do
n't	RB	n't
think	VB	think
he	PP	he
's	VBZ	be
gonna	VBG	gonna
be	VB	be
a	DT	a
good	JJ	good
father	NN	father
erm	NN	erm
I	PP	I
erm	VBP	<unknown>
I	PP	I
can	MD	can
look	VB	look
after	IN	after
him	PP	him
over	IN	over
here	RB	here
