button	NN	button
start	NN	start
recording	NN	recording
okay	NN	okay
that	WDT	that
's	VBZ	have
started	VBN	start
recording	NN	recording
and	CC	and
that	DT	that
one	CD	one
I	PP	I
think	VBP	think
has	VBZ	have
started	VBN	start
recording	VBG	record
if	IN	if
I	PP	I
mi	NN	mi
yes	NN	yes
it	PP	it
has	VBZ	have
okay	RB	okay
so	RB	so
erm	JJ	<unknown>
and	CC	and
I	PP	I
are	VBP	be
going	VBG	go
to	TO	to
talk	VB	talk
about	IN	about
erm	JJ	<unknown>
er	NN	er
er	NN	er
something	NN	something
that	IN	that
we	PP	we
've	VBP	have
both	CC	both
been	VBN	be
going	VBG	go
through	IN	through
erm	NN	erm
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
months	NNS	month
and	CC	and
years	NNS	year
which	WDT	which
is	VBZ	be
our	PP$	our
experiences	NNS	experience
of	IN	of
having	VBG	have
cancer	NN	cancer
and	CC	and
being	VBG	be
treated	VBN	treat
for	IN	for
cancer	NN	cancer
specifically	RB	specifically
gynaecological	JJ	gynaecological
cancers	NNS	cancer
and	CC	and
we	PP	we
're	VBP	be
doing	VBG	do
this	DT	this
recording	NN	recording
with	IN	with
two	CD	two
objects	NNS	object
erm	JJ	<unknown>
number	NN	number
one	PP	one
is	VBZ	be
towards	IN	towards
the	DT	the
Cambridge	NP	Cambridge
University	NP	University
Press	NP	Press
erm	NN	erm
research	NN	research
but	CC	but
secondly	RB	secondly
we	PP	we
're	VBP	be
hoping	VBG	hope
that	IN	that
the	DT	the
tape	NN	tape
will	MD	will
be	VB	be
used	VBN	use
as	RB	as
well	RB	well
by	IN	by
a	DT	a
charity	NN	charity
which	WDT	which
is	VBZ	be
called	VBN	call
The	DT	the
Eve	NP	Eve
Appeal	NN	appeal
erm	NN	erm
which	WDT	which
erm	NN	erm
is	VBZ	be
campaigning	VBG	campaign
on	IN	on
erm	NN	erm
a	DT	a
greater	JJR	great
awareness	NN	awareness
of	IN	of
gynaecgyn	NN	<unknown>
I	PP	I
ca	MD	ca
n't	RB	n't
even	RB	even
say	VBP	say
it	PP	it
gynaecological	JJ	gynaecological
cancers	NNS	cancer
amongst	IN	amongst
obviously	RB	obviously
amongst	IN	amongst
women	NNS	woman
er	NNS	<unknown>
in	IN	in
erm	NN	erm
in	IN	in
this	DT	this
country	NN	country
and	CC	and
erm	NN	erm
are	VBP	be
interested	JJ	interested
in	IN	in
the	DT	the
views	NNS	view
of	IN	of
some	DT	some
of	IN	of
their	PP$	their
members	NNS	member
and	CC	and
supporters	NNS	supporter
er	NNS	<unknown>
in	IN	in
the	DT	the
awareness	NN	awareness
of	IN	of
cancer	NN	cancer
and	CC	and
the	DT	the
symptoms	NNS	symptom
of	IN	of
cancer	NN	cancer
et	NP	et
cetera	NP	cetera
amongst	IN	amongst
young	JJ	young
people	NNS	people
er	NNS	<unknown>
in	IN	in
particular	JJ	particular
so	IN	so
we	PP	we
're	VBP	be
gonna	VBG	gonna
talk	NN	talk
about	IN	about
that	WDT	that
and	CC	and
the	DT	the
other	JJ	other
thing	NN	thing
we	PP	we
're	VBP	be
gonna	VBG	gonna
talk	NN	talk
about	RB	about
is	VBZ	be
about	RB	about
the	DT	the
cancers	NNS	cancer
that	IN	that
we	PP	we
've	VBP	have
had	VBN	have
and	CC	and
our	PP$	our
experiences	NNS	experience
of	IN	of
of	IN	of
having	VBG	have
cancer	NN	cancer
so	IN	so
we	PP	we
're	VBP	be
gonna	VBG	gonna
talk	NN	talk
about	IN	about
body	NN	body
parts	NNS	part
and	CC	and
stuff	NN	stuff
like	VBP	like
that	IN	that
as	RB	as
well	RB	well
because	IN	because
part	NN	part
of	IN	of
what	WP	what
The	DT	the
Eve	NP	Eve
Appeal	NN	appeal
has	VBZ	have
discovered	VBN	discover
is	VBZ	be
that	IN	that
younger	JJR	young
women	NNS	woman
are	VBP	be
less	RBR	less
likely	JJ	likely
to	TO	to
know	VB	know
the	DT	the
parts	NNS	part
of	IN	of
their	PP$	their
body	NN	body
involved	VBN	involve
be	VB	be
able	JJ	able
to	TO	to
locate	VB	locate
them	PP	them
on	IN	on
a	DT	a
map	NN	map
of	IN	of
the	DT	the
body	NN	body
and	CC	and
actually	RB	actually
be	VB	be
able	JJ	able
to	TO	to
use	VB	use
the	DT	the
terminology	NN	terminology
so	RB	so
although	IN	although
there	EX	there
's	VBZ	be
an	DT	an
assumption	NN	assumption
in	IN	in
our	PP$	our
society	NN	society
that	IN	that
younger	JJR	young
people	NNS	people
are	VBP	be
freer	JJR	free
and	CC	and
easier	JJR	easy
about	IN	about
sex	NN	sex
and	CC	and
and	CC	and
er	JJ	<unknown>
health	NN	health
et	NP	et
cetera	NP	cetera
this	DT	this
turns	VBZ	turn
out	RP	out
from	IN	from
a	DT	a
recent	JJ	recent
piece	NN	piece
of	IN	of
research	NN	research
to	TO	to
be	VB	be
not	RB	not
at	IN	at
all	PDT	all
the	DT	the
case	NN	case
so	IN	so
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
what	WP	what
you	PP	you
felt	VBD	feel
when	WRB	when
you	PP	you
read	VBP	read
that	IN	that
press	NN	press
release	NN	release
that	IN	that
they	PP	they
put	VBD	put
out	RP	out
?	SENT	?
