shall	MD	shall
we	PP	we
meet	VB	meet
up	RP	up
?	SENT	?
or	CC	or
do	VBP	do
you	PP	you
need	VBP	need
anyone	NN	anyone
to	TO	to
talk	VB	talk
to	TO	to
?	SENT	?
type	NN	type
of	IN	of
thing	NN	thing
and	CC	and
then	RB	then
you	PP	you
sent	VBD	send
me	PP	me
the	DT	the
text	NN	text
saying	VBG	say
I	PP	I
've	VBP	have
just	RB	just
been	VBN	be
delivering	VBG	deliver
Avon	NP	Avon
and	CC	and
he	PP	he
's	VBZ	have
answered	VBN	answer
the	DT	the
door	NN	door
so	IN	so
I	PP	I
thought	VBD	think
oh	UH	oh
but	CC	but
I	PP	I
was	VBD	be
waiting	VBG	wait
for	IN	for
the	DT	the
reply	NN	reply
at	IN	at
which	WDT	which
point	NN	point
she	PP	she
did	VBD	do
come	VB	come
back	RB	back
and	CC	and
say	VB	say
that	DT	that
erm	NN	erm
he	PP	he
'd	VBD	have
moved	VBN	move
back	RB	back
in	IN	in
I	PP	I
've	VBP	have
forgotten	VBN	forget
how	WRB	how
she	PP	she
phrased	VBD	phrase
it	PP	it
and	CC	and
it	PP	it
's	VBZ	be
on	IN	on
the	DT	the
phone	NN	phone
he	PP	he
'd	VBD	have
moved	VBN	move
back	RB	back
in	IN	in
on	IN	on
the	DT	the
Saturday	NP	Saturday
so	IN	so
it	PP	it
did	VBD	do
n't	RB	n't
look	VB	look
too	RB	too
weird	JJ	weird
for	IN	for
the	DT	the
girls	NNS	girl
erm	VBP	<unknown>
low	JJ	low
key	JJ	key
low	JJ	low
drama	NN	drama
er	NN	er
w	NN	w
seeing	NN	seeing
how	WRB	how
it	PP	it
goes	VBZ	go
iit	NN	iit
was	VBD	be
really	RB	really
weird	JJ	weird
